starting worker pid=4448 on localhost:11177 at 04:12:45.248
starting worker pid=5624 on localhost:11177 at 04:12:45.708
starting worker pid=3656 on localhost:11177 at 04:12:45.984
starting worker pid=6188 on localhost:11177 at 04:12:46.270

011-E164-033WL Progress 0 % 
  localhost:11177  3656 : Re 800 AoA  4 4:38:33 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 800 AoA  6 4:38:35 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 800 AoA  4 4:38:35 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 800 AoA  2 4:38:36 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  5624 : Re 800 AoA  2 4:38:38 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:38:40 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA  0 4:38:42 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  6188 : Re 800 AoA  6 4:39:28 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  3656 : Re 800 AoA  4 4:39:30 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 800 AoA  2 4:39:31 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 800 AoA  6 4:39:36 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:39:37 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  3656 : Re 800 AoA  4 4:39:37 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA  2 4:39:39 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:39:45 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:47:01 AM | Boundary Layers Calculated 
  localhost:11177  4448 : Re 800 AoA  0 4:47:11 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 800 AoA  6 4:47:25 AM | Boundary Layers Calculated 
  localhost:11177  6188 : Re 800 AoA  6 4:47:31 AM | Boundary Layers Plotted 
  localhost:11177  5624 : Re 800 AoA  2 4:52:10 AM | Boundary Layers Calculated 
  localhost:11177  4448 : Re 800 AoA  0 4:52:27 AM | Velocity Profiles Calculated 
  localhost:11177  5624 : Re 800 AoA  2 4:52:27 AM | Boundary Layers Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:52:33 AM | Velocity Profiles Plotted 
  localhost:11177  4448 : Re 800 AoA  0 4:52:35 AM | Completed:  7.25681304931641 Mb 
  localhost:11177  3656 : Re 800 AoA  4 4:52:57 AM | Boundary Layers Calculated 
  localhost:11177  3656 : Re 800 AoA  4 4:53:03 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 800 AoA  6 4:54:38 AM | Velocity Profiles Calculated 
  localhost:11177  6188 : Re 800 AoA  6 4:54:42 AM | Velocity Profiles Plotted 
  localhost:11177  6188 : Re 800 AoA  6 4:54:43 AM | Completed:  7.25340270996094 Mb 
  localhost:11177  5624 : Re 800 AoA  2 4:55:20 AM | Velocity Profiles Calculated 
  localhost:11177  5624 : Re 800 AoA  2 4:55:22 AM | Velocity Profiles Plotted 
  localhost:11177  5624 : Re 800 AoA  2 4:55:24 AM | Completed:  7.29023742675781 Mb 
  localhost:11177  3656 : Re 800 AoA  4 4:55:56 AM | Velocity Profiles Calculated 
  localhost:11177  3656 : Re 800 AoA  4 4:55:58 AM | Velocity Profiles Plotted 
  localhost:11177  3656 : Re 800 AoA  4 4:56:00 AM | Completed:  7.25372314453125 Mb 

011-E164-033WL Progress 20 % 
  localhost:11177  3656 : Re 800 AoA 12 4:56:08 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  5624 : Re 800 AoA 10 4:56:08 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 800 AoA  8 4:56:08 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  3656 : Re 800 AoA 12 4:56:08 AM | Aerofoil Coordinates Calculated 
  localhost:11177  4448 : Re 800 AoA  8 4:56:09 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 800 AoA 10 4:56:09 AM | Aerofoil Coordinates Calculated 
  localhost:11177  6188 : Re 800 AoA 14 4:56:09 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 800 AoA 14 4:56:09 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 800 AoA 12 4:56:13 AM | Aerofoil Surface Values Plotted 
  localhost:11177  4448 : Re 800 AoA  8 4:56:13 AM | Aerofoil Surface Values Plotted 
  localhost:11177  5624 : Re 800 AoA 10 4:56:13 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 800 AoA 14 4:56:15 AM | Aerofoil Surface Values Plotted 
  localhost:11177  3656 : Re 800 AoA 12 4:56:41 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 800 AoA 12 4:56:43 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  6188 : Re 800 AoA 14 4:56:43 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 800 AoA 14 4:56:45 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 800 AoA 10 4:56:45 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA  8 4:56:45 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  5624 : Re 800 AoA 10 4:56:47 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  4448 : Re 800 AoA  8 4:56:47 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 800 AoA 12 4:57:38 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 800 AoA 14 4:57:40 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 800 AoA 10 4:57:42 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 800 AoA  8 4:57:43 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  3656 : Re 800 AoA 12 4:57:46 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  6188 : Re 800 AoA 14 4:57:48 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA 10 4:57:50 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA  8 4:57:50 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  3656 : Re 800 AoA 12 5:06:41 AM | Boundary Layers Calculated 
  localhost:11177  3656 : Re 800 AoA 12 5:06:52 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 800 AoA 14 5:07:19 AM | Boundary Layers Calculated 
  localhost:11177  6188 : Re 800 AoA 14 5:07:23 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 800 AoA 14 5:11:55 AM | Velocity Profiles Calculated 
  localhost:11177  6188 : Re 800 AoA 14 5:12:13 AM | Velocity Profiles Plotted 
  localhost:11177  6188 : Re 800 AoA 14 5:12:15 AM | Completed:  6.75112152099609 Mb 
  localhost:11177  3656 : Re 800 AoA 12 5:16:14 AM | Velocity Profiles Calculated 
  localhost:11177  3656 : Re 800 AoA 12 5:17:21 AM | Velocity Profiles Plotted 
  localhost:11177  3656 : Re 800 AoA 12 5:17:24 AM | Completed:  6.78516387939453 Mb 
  localhost:11177  5624 : Re 800 AoA 10 5:18:11 AM | Boundary Layers Calculated 
  localhost:11177  5624 : Re 800 AoA 10 5:18:33 AM | Boundary Layers Plotted 
  localhost:11177  4448 : Re 800 AoA  8 5:18:33 AM | Boundary Layers Calculated 
  localhost:11177  4448 : Re 800 AoA  8 5:18:41 AM | Boundary Layers Plotted 
  localhost:11177  4448 : Re 800 AoA  8 5:21:33 AM | Velocity Profiles Calculated 
  localhost:11177  4448 : Re 800 AoA  8 5:21:36 AM | Velocity Profiles Plotted 
  localhost:11177  4448 : Re 800 AoA  8 5:21:37 AM | Completed:  7.25063323974609 Mb 
  localhost:11177  5624 : Re 800 AoA 10 5:21:45 AM | Velocity Profiles Calculated 
  localhost:11177  5624 : Re 800 AoA 10 5:21:48 AM | Velocity Profiles Plotted 
  localhost:11177  5624 : Re 800 AoA 10 5:21:49 AM | Completed:  7.08289337158203 Mb 

011-E164-033WL Progress 30 % 
  localhost:11177  5624 : Re 800 AoA 18 5:21:59 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 800 AoA 16 5:21:59 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 800 AoA 16 5:21:59 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 800 AoA 18 5:21:59 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:21:59 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  3656 : Re 800 AoA 20 5:21:59 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 800 AoA 18 5:22:03 AM | Aerofoil Surface Values Plotted 
  localhost:11177  4448 : Re 800 AoA 16 5:22:03 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:22:05 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 800 AoA 22 5:22:05 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:22:11 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:22:16 AM | Aerofoil Surface Values Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:22:30 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA 16 5:22:30 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  4448 : Re 800 AoA 16 5:22:31 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:22:31 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 800 AoA 20 5:22:40 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:22:42 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:22:45 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 800 AoA 22 5:22:47 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  4448 : Re 800 AoA 16 5:23:25 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 800 AoA 18 5:23:25 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 800 AoA 16 5:23:32 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:23:32 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  3656 : Re 800 AoA 20 5:23:35 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  6188 : Re 800 AoA 22 5:23:42 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:23:43 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:23:50 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  4448 : Re 800 AoA 16 5:32:01 AM | Boundary Layers Calculated 
  localhost:11177  4448 : Re 800 AoA 16 5:32:12 AM | Boundary Layers Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:33:32 AM | Boundary Layers Calculated 
  localhost:11177  5624 : Re 800 AoA 18 5:33:43 AM | Boundary Layers Plotted 
  localhost:11177  4448 : Re 800 AoA 16 5:37:02 AM | Velocity Profiles Calculated 
  localhost:11177  4448 : Re 800 AoA 16 5:37:11 AM | Velocity Profiles Plotted 
  localhost:11177  4448 : Re 800 AoA 16 5:37:13 AM | Completed:  6.65302276611328 Mb 
  localhost:11177  3656 : Re 800 AoA 20 5:37:30 AM | Boundary Layers Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:37:38 AM | Boundary Layers Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:38:07 AM | Velocity Profiles Calculated 
  localhost:11177  5624 : Re 800 AoA 18 5:38:11 AM | Velocity Profiles Plotted 
  localhost:11177  5624 : Re 800 AoA 18 5:38:13 AM | Completed:  6.65146636962891 Mb 
  localhost:11177  3656 : Re 800 AoA 20 5:41:31 AM | Velocity Profiles Calculated 
  localhost:11177  3656 : Re 800 AoA 20 5:41:36 AM | Velocity Profiles Plotted 
  localhost:11177  3656 : Re 800 AoA 20 5:41:37 AM | Completed:  6.58647155761719 Mb 
  localhost:11177  6188 : Re 800 AoA 22 5:41:56 AM | Boundary Layers Calculated 
  localhost:11177  6188 : Re 800 AoA 22 5:41:59 AM | Boundary Layers Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:44:44 AM | Velocity Profiles Calculated 
  localhost:11177  6188 : Re 800 AoA 22 5:44:46 AM | Velocity Profiles Plotted 
  localhost:11177  6188 : Re 800 AoA 22 5:44:48 AM | Completed:  6.61680603027344 Mb 

011-E164-033WL Progress 40 % 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:00 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:01 AM | Aerofoil Coordinates Calculated 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:01 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:02 AM | Aerofoil Coordinates Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:02 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:02 AM | Aerofoil Coordinates Calculated 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:04 AM | Aerofoil Surface Values Plotted 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:05 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:05 AM | Aerofoil Surface Values Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:06 AM | Aerofoil Surface Values Plotted 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:06 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:07 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:07 AM | File Data Loaded
                 --------------------------------------------------------------- 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:08 AM | Aerofoil Coordinates Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:08 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:10 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:10 AM | Aerofoil Surface Interpolation Calculated 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:10 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:12 AM | Aerofoil Cp and Vort Plotted 
  localhost:11177  5624 : Re 1000 AoA-10 5:45:15 AM | Interpolation on Normals to Surface Calculated 
  localhost:11177  4448 : Re 1000 AoA -5 5:45:16 AM | Aerofoil Surface Values Plotted 
  localhost:11177  3656 : Re 1000 AoA-15 5:45:17 AM | Interpolation on Normals to Surface Plotted 
  localhost:11177  6188 : Re 1000 AoA-20 5:45:18 AM | Interpolation on Normals to Surface Plotted 
