                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.27000000000000690E+01  0.31955489709912480E-01  0.39065339461802899E-01  0.71020829171715372E-01  0.48371923757860778E-01  0.29213154542746715E-02  0.51293239212135452E-01
  0.27500000000000857E+01  0.31905976481611281E-01  0.39015485376315107E-01  0.70921461857926388E-01  0.47666661294731516E-01  0.29164194566334480E-02  0.50583080751364966E-01
  0.28000000000001024E+01  0.31860898476068857E-01  0.38963986381209827E-01  0.70824884857278683E-01  0.46924475793655045E-01  0.29110737776650935E-02  0.49835549571320137E-01
  0.28500000000001191E+01  0.31825426817856439E-01  0.38911852821060862E-01  0.70737279638917294E-01  0.46063306752766986E-01  0.29048675855212380E-02  0.48968174338288227E-01
  0.29000000000001358E+01  0.31803374589749842E-01  0.38860821369859841E-01  0.70664195959609682E-01  0.45035668586579196E-01  0.28974736066026386E-02  0.47933142193181837E-01
  0.29500000000001525E+01  0.31797042392214619E-01  0.38813096116567865E-01  0.70610138508782477E-01  0.43840594343314734E-01  0.28888046334522117E-02  0.46729398976766943E-01
  0.30000000000001692E+01  0.31806305225906217E-01  0.38770809653626830E-01  0.70577114879533054E-01  0.42525491847603417E-01  0.28790881627660959E-02  0.45404580010369511E-01
  0.30500000000001859E+01  0.31827987181345087E-01  0.38735387394751859E-01  0.70563374576096946E-01  0.41180514614079046E-01  0.28688857425166964E-02  0.44049400356595741E-01
  0.31000000000002026E+01  0.31856286006579089E-01  0.38707118279179172E-01  0.70563404285758261E-01  0.39918034728006896E-01  0.28589893793971670E-02  0.42777024107404062E-01
  0.31500000000002193E+01  0.31884056248134368E-01  0.38685086215002183E-01  0.70569142463136558E-01  0.38841464143290087E-01  0.28502348968605521E-02  0.41691699040150638E-01
  0.32000000000002360E+01  0.31904570172514780E-01  0.38667454680603466E-01  0.70572024853118254E-01  0.38018843619420956E-01  0.28433454223735590E-02  0.40862189041794512E-01
  0.32500000000002527E+01  0.31913133428924531E-01  0.38651997717318025E-01  0.70565131146242549E-01  0.37469339472813327E-01  0.28387982547154445E-02  0.40308137727528774E-01
  0.33000000000002694E+01  0.31907636749384072E-01  0.38636662528332665E-01  0.70544299277716743E-01  0.37162185143073817E-01  0.28366719484696195E-02  0.39998857091543438E-01
  0.33500000000002861E+01  0.31887903801339490E-01  0.38619902330753630E-01  0.70507806132093120E-01  0.37028775561166273E-01  0.28365789297302504E-02  0.39865354490896523E-01
  0.34000000000003028E+01  0.31854910105722820E-01  0.38600683612084630E-01  0.70455593717807449E-01  0.36986018068622804E-01  0.28378106219954999E-02  0.39823828690618304E-01
  0.34500000000003195E+01  0.31810874399525409E-01  0.38578341119122096E-01  0.70389215518647505E-01  0.36958697733529278E-01  0.28396061061955369E-02  0.39798303839724818E-01
  0.35000000000003362E+01  0.31759981338968228E-01  0.38552529611227973E-01  0.70312510950196194E-01  0.36887424804306915E-01  0.28413206971712826E-02  0.39728745501478195E-01
  0.35500000000003529E+01  0.31708641928730338E-01  0.38523345956208731E-01  0.70231987884939062E-01  0.36723182284422534E-01  0.28424115094112983E-02  0.39565593793833835E-01
  0.36000000000003696E+01  0.31664503816699455E-01  0.38491500738174672E-01  0.70156004554874127E-01  0.36422794028069562E-01  0.28423613248671586E-02  0.39265155352936718E-01
  0.36500000000003863E+01  0.31634429188945032E-01  0.38458376913418219E-01  0.70092806102363250E-01  0.35956677211516928E-01  0.28406936380053413E-02  0.38797370849522270E-01
  0.37000000000004030E+01  0.31622447878346428E-01  0.38425884786514777E-01  0.70048332664861213E-01  0.35326036009722062E-01  0.28371181122953857E-02  0.38163154122017449E-01
  0.37500000000004197E+01  0.31628660921943212E-01  0.38396116493065270E-01  0.70024777415008482E-01  0.34576130619694716E-01  0.28317276633649190E-02  0.37407858283059633E-01
  0.38000000000004364E+01  0.31649407275829100E-01  0.38370884545969326E-01  0.70020291821798419E-01  0.33793803639824545E-01  0.28251197926297965E-02  0.36618923432454341E-01
  0.38500000000004531E+01  0.31678365147883025E-01  0.38351282745217825E-01  0.70029647893100844E-01  0.33088070899638909E-01  0.28183457189781846E-02  0.35906416618617092E-01
  0.39000000000004698E+01  0.31708019029405024E-01  0.38337416581874353E-01  0.70045435611279377E-01  0.32562816012837802E-01  0.28126787061483502E-02  0.35375494718986149E-01
  0.39500000000004865E+01  0.31731024720966519E-01  0.38328403559169687E-01  0.70059428280136199E-01  0.32293266653174169E-01  0.28092847972106833E-02  0.35102551450384850E-01
  0.40000000000005027E+01  0.31741224132124782E-01  0.38322639203131559E-01  0.70063863335256341E-01  0.32313572024805955E-01  0.28089248684119157E-02  0.35122496893217871E-01
  0.40500000000004750E+01  0.31734247285803444E-01  0.38318200734392120E-01  0.70052448020195557E-01  0.32616769612771768E-01  0.28118015263758917E-02  0.35428571139147658E-01
  0.41000000000004473E+01  0.31707757157250924E-01  0.38313207143071862E-01  0.70020964300322786E-01  0.33164126476303360E-01  0.28175970202132705E-02  0.35981723496516634E-01
  0.41500000000004196E+01  0.31661433004790698E-01  0.38306021606046077E-01  0.69967454610836782E-01  0.33898487952184260E-01  0.28256557912381629E-02  0.36724143743422422E-01
  0.42000000000003919E+01  0.31596740658880754E-01  0.38295306439128401E-01  0.69892047098009155E-01  0.34756029379611905E-01  0.28352008805358391E-02  0.37591230260147747E-01
  0.42500000000003642E+01  0.31516486653933640E-01  0.38280016793914150E-01  0.69796503447847796E-01  0.35673181250770666E-01  0.28454833577590843E-02  0.38518664608529748E-01
  0.43000000000003364E+01  0.31424211951491414E-01  0.38259411023689072E-01  0.69683622975180493E-01  0.36589127250675132E-01  0.28558334482622553E-02  0.39444960698937388E-01
  0.43500000000003087E+01  0.31323605031949829E-01  0.38233101143362119E-01  0.69556706175311955E-01  0.37446436082878787E-01  0.28656477819795274E-02  0.40312083864858315E-01
  0.44000000000002810E+01  0.31218129267679751E-01  0.38201114914864789E-01  0.69419244182544540E-01  0.38191962886635969E-01  0.28743651171812034E-02  0.41066328003817175E-01
  0.44500000000002533E+01  0.31110922091292858E-01  0.38163919213629667E-01  0.69274841304922521E-01  0.38778520278601208E-01  0.28814612815600150E-02  0.41659981560161222E-01
  0.45000000000002256E+01  0.31004883060697520E-01  0.38122371119646212E-01  0.69127254180343739E-01  0.39166757080854715E-01  0.28864649737270565E-02  0.42053222054581771E-01
  0.45500000000001979E+01  0.30902835487172878E-01  0.38077607084071499E-01  0.68980442571244374E-01  0.39326622979745138E-01  0.28889795239931981E-02  0.42215602503738334E-01
  0.46000000000001702E+01  0.30807665181220818E-01  0.38030918759174755E-01  0.68838583940395576E-01  0.39238243647501947E-01  0.28886958117919606E-02  0.42126939459293911E-01
  0.46500000000001425E+01  0.30722339159935479E-01  0.37983664623873863E-01  0.68706003783809338E-01  0.38892546444723036E-01  0.28853952606534760E-02  0.41777941705376513E-01
  0.47000000000001148E+01  0.30649729830034823E-01  0.37937228189313679E-01  0.68586958019348498E-01  0.38292173341648660E-01  0.28789580193646657E-02  0.41171131361013323E-01
  0.47500000000000870E+01  0.30592265975407051E-01  0.37892988442405087E-01  0.68485254417812141E-01  0.37452650689671033E-01  0.28693928097382527E-02  0.40322043499409287E-01
  0.48000000000000593E+01  0.30551537935869823E-01  0.37852253675250899E-01  0.68403791611120729E-01  0.36402624099342057E-01  0.28568845777155560E-02  0.39259508677057610E-01
