                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.14735787564088343E+00  0.66810028059404336E+00  0.81545815623492679E+00  0.41672853973540280E+00 -0.94349810324760447E-01  0.32237872941064238E+00
  0.10000000000000007E+00  0.11881480249288055E+00  0.44741153577078474E+00  0.56622633826366531E+00  0.37240242741968782E+00 -0.60154416870146020E-01  0.31224801054954182E+00
  0.15000000000000011E+00  0.11016055974265744E+00  0.36685388909175026E+00  0.47701444883440769E+00  0.36543084043673246E+00 -0.46836768006110939E-01  0.31859407243062154E+00
  0.20000000000000015E+00  0.10646215480707955E+00  0.32296406512470854E+00  0.42942621993178809E+00  0.36611406685726738E+00 -0.39055138226896262E-01  0.32705892863037112E+00
  0.25000000000000017E+00  0.10475836540414665E+00  0.29409920192363748E+00  0.39885756732778410E+00  0.36906233981128661E+00 -0.33610117875766940E-01  0.33545222193551966E+00
  0.30000000000000021E+00  0.10397458700785642E+00  0.27318230164510193E+00  0.37715688865295838E+00  0.37272758525609895E+00 -0.29444537005209749E-01  0.34328304825088918E+00
  0.35000000000000026E+00  0.10363849295680747E+00  0.25714088483126868E+00  0.36077937778807612E+00  0.37641990443898304E+00 -0.26105237927547334E-01  0.35031466651143572E+00
  0.40000000000000030E+00  0.10354059120337564E+00  0.24437333465988303E+00  0.34791392586325864E+00  0.37987195592450962E+00 -0.23345350059674010E-01  0.35652660586483559E+00
  0.45000000000000034E+00  0.10357519914636545E+00  0.23393832966791611E+00  0.33751352881428154E+00  0.38300179247734223E+00 -0.21011944087926643E-01  0.36198984838941561E+00
  0.50000000000000033E+00  0.10368045096889218E+00  0.22523812253000397E+00  0.32891857349889614E+00  0.38578122065804504E+00 -0.19005861656141800E-01  0.36677535900190322E+00
  0.54999999999999483E+00  0.10381717503853835E+00  0.21787206040583093E+00  0.32168923544436928E+00  0.38819830816365586E+00 -0.17260293553610601E-01  0.37093801461004527E+00
  0.59999999999998932E+00  0.10395761969186278E+00  0.21155985538102529E+00  0.31551747507288808E+00  0.39024787413230166E+00 -0.15728655202712445E-01  0.37451921892958923E+00
  0.64999999999998381E+00  0.10408096320250415E+00  0.20609882227110987E+00  0.31017978547361402E+00  0.39192866547873706E+00 -0.14377219255447066E-01  0.37755144622329001E+00
  0.69999999999997831E+00  0.10417350737529195E+00  0.20133886880053661E+00  0.30551237617582855E+00  0.39324660152309532E+00 -0.13180044962864571E-01  0.38006655656023075E+00
  0.74999999999997280E+00  0.10422860525037193E+00  0.19716666578637948E+00  0.30139527103675140E+00  0.39421776361468769E+00 -0.12115939866186257E-01  0.38210182374850143E+00
  0.79999999999996729E+00  0.10424414771449803E+00  0.19349481651570102E+00  0.29773896423019908E+00  0.39486517279031824E+00 -0.11167287527248833E-01  0.38369788526306942E+00
  0.84999999999996179E+00  0.10421911685326143E+00  0.19025423779014486E+00  0.29447335464340629E+00  0.39521118359811291E+00 -0.10319863816528427E-01  0.38489131978158447E+00
  0.89999999999995628E+00  0.10415146028981474E+00  0.18738886731581000E+00  0.29154032760562476E+00  0.39527169336395934E+00 -0.95626631294444334E-02  0.38570903023451492E+00
  0.94999999999995077E+00  0.10403808048939585E+00  0.18485203698468047E+00  0.28889011747407634E+00  0.39505604912425923E+00 -0.88872716897689281E-02  0.38616877743449030E+00
  0.99999999999994527E+00  0.10387619746898219E+00  0.18260397904740205E+00  0.28648017651638424E+00  0.39457166663345300E+00 -0.82868925354727778E-02  0.38628477409798023E+00
  0.10499999999999399E+01  0.10366483218501961E+00  0.18061010540592448E+00  0.28427493759094408E+00  0.39382954577630291E+00 -0.77553921195444922E-02  0.38607415365675840E+00
  0.10999999999999344E+01  0.10340554446876368E+00  0.17883984942958822E+00  0.28224539389835190E+00  0.39284733770420932E+00 -0.72866854528169751E-02  0.38556065225139236E+00
  0.11499999999999289E+01  0.10310224321045072E+00  0.17726593247189276E+00  0.28036817568234351E+00  0.39164892327951434E+00 -0.68745611981873202E-02  0.38477436208132704E+00
  0.11999999999999234E+01  0.10276039015305780E+00  0.17586393369867218E+00  0.27862432385172997E+00  0.39026158228655056E+00 -0.65128405581595305E-02  0.38374874172839102E+00
  0.12499999999999178E+01  0.10238607596151084E+00  0.17461204664522284E+00  0.27699812260673368E+00  0.38871267467472242E+00 -0.61956649657653557E-02  0.38251700970895708E+00
  0.12999999999999123E+01  0.10198532735186028E+00  0.17349092363582366E+00  0.27547625098768391E+00  0.38702735396851884E+00 -0.59177299438242003E-02  0.38110962402469462E+00
  0.13499999999999068E+01  0.10156376894591172E+00  0.17248353898789354E+00  0.27404730793380527E+00  0.38522784099582735E+00 -0.56743768065698518E-02  0.37955346418925751E+00
  0.13999999999999013E+01  0.10112656360344512E+00  0.17157503378030950E+00  0.27270159738375460E+00  0.38333389809950313E+00 -0.54615524414223749E-02  0.37787234565808075E+00
  0.14499999999998958E+01  0.10067847171080255E+00  0.17075253142657634E+00  0.27143100313737889E+00  0.38136374893267916E+00 -0.52757022060747286E-02  0.37608804672660445E+00
  0.14999999999998903E+01  0.10022389918437839E+00  0.17000493094639668E+00  0.27022883013077509E+00  0.37933479288212973E+00 -0.51136623100761303E-02  0.37422113057205358E+00
  0.15499999999998848E+01  0.99766884751123872E-01  0.16932269285242874E+00  0.26908957760355262E+00  0.37726382539519648E+00 -0.49725873341644831E-02  0.37229123806103198E+00
