                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.96829995481805556E-01  0.67651980687057423E+00  0.77334980235237982E+00  0.68812683422348864E-01 -0.27696279893988573E-02  0.66043055432950012E-01
  0.10000000000000007E+00  0.76803951670526227E-01  0.45117341823691059E+00  0.52797736990743682E+00  0.70231134000093037E-01 -0.11449354623610697E-02  0.69086198537731972E-01
  0.15000000000000011E+00  0.69837310404321465E-01  0.36982917400705245E+00  0.43966648441137390E+00  0.71772188159053507E-01 -0.22224376003261991E-03  0.71549944399020890E-01
  0.20000000000000015E+00  0.66300610956559231E-01  0.32591894478040356E+00  0.39221955573696277E+00  0.73480190524685490E-01  0.65751666519112768E-03  0.74137707189876612E-01
  0.25000000000000017E+00  0.64291421841468993E-01  0.29719856611578727E+00  0.36148998795725629E+00  0.74701915206456859E-01  0.14417570835585807E-02  0.76143672290015438E-01
  0.30000000000000021E+00  0.63075071151594941E-01  0.27647190421068263E+00  0.33954697536227757E+00  0.75425665999177396E-01  0.21255015326450194E-02  0.77551167531822410E-01
  0.35000000000000026E+00  0.62304589473562780E-01  0.26063237239187753E+00  0.32293696186544030E+00  0.75769348022281080E-01  0.27237570860741472E-02  0.78493105108355221E-01
  0.40000000000000030E+00  0.61807182246212740E-01  0.24806696283287910E+00  0.30987414507909183E+00  0.75807030043120199E-01  0.32519678547121658E-02  0.79058997897832370E-01
  0.45000000000000034E+00  0.61486414295649008E-01  0.23783164313715927E+00  0.29931805743280826E+00  0.75576479980715150E-01  0.37213914596276104E-02  0.79297871440342754E-01
  0.50000000000000033E+00  0.61282865993511675E-01  0.22932758389432920E+00  0.29061044988784085E+00  0.75100982310759151E-01  0.41399420938157249E-02  0.79240924404574878E-01
  0.54999999999999483E+00  0.61158075285919725E-01  0.22215287042851317E+00  0.28331094571443288E+00  0.74399831697139387E-01  0.45136698726125548E-02  0.78913501569751937E-01
  0.59999999999998932E+00  0.61085891573627107E-01  0.21602615876311079E+00  0.27711205033673791E+00  0.73491252976751881E-01  0.48474018343773991E-02  0.78338654811129282E-01
  0.64999999999998381E+00  0.61047699435551973E-01  0.21074396105073093E+00  0.27179166048628289E+00  0.72393076702845061E-01  0.51450131962145883E-02  0.77538089899059651E-01
  0.69999999999997831E+00  0.61030061055139057E-01  0.20615530247883018E+00  0.26718536353396927E+00  0.71124858222194776E-01  0.54097657439295260E-02  0.76534623966124302E-01
  0.74999999999997280E+00  0.61023302327807886E-01  0.20214583260314956E+00  0.26316913493095745E+00  0.69710538384517073E-01  0.56445815055375867E-02  0.75355119890054667E-01
  0.79999999999996729E+00  0.61020395336987804E-01  0.19862727148588888E+00  0.25964766682287665E+00  0.68179024729492527E-01  0.58520916026406130E-02  0.74031116332133134E-01
  0.84999999999996179E+00  0.61016185580975789E-01  0.19553005633256254E+00  0.25654624191353831E+00  0.66562300542325287E-01  0.60345702990555576E-02  0.72596870841380848E-01
  0.89999999999995628E+00  0.61007012945171996E-01  0.19279806938897437E+00  0.25380508233414634E+00  0.64892782530349760E-01  0.61939473049401859E-02  0.71086729835289950E-01
  0.94999999999995077E+00  0.60990539532005596E-01  0.19038482100206061E+00  0.25137536053406623E+00  0.63201414914547602E-01  0.63319527621459974E-02  0.69533367676693603E-01
  0.99999999999994527E+00  0.60965563985944840E-01  0.18825071832322038E+00  0.24921628230916520E+00  0.61516607534961305E-01  0.64503056315329769E-02  0.67966913166494280E-01
  0.10499999999999399E+01  0.60931755257702502E-01  0.18636119131863532E+00  0.24729294657633782E+00  0.59863381029801571E-01  0.65508332501528609E-02  0.66414214279954434E-01
  0.10999999999999344E+01  0.60889372120636720E-01  0.18468550684448476E+00  0.24557487896512148E+00  0.58262356770139245E-01  0.66354766598053358E-02  0.64897833429944582E-01
  0.11499999999999289E+01  0.60839048580242278E-01  0.18319610586791321E+00  0.24403515444815549E+00  0.56728825160916777E-01  0.67062099846154138E-02  0.63435035145532184E-01
  0.11999999999999234E+01  0.60781664796821830E-01  0.18186828894508239E+00  0.24264995374190423E+00  0.55272367961490487E-01  0.67649340012246985E-02  0.62037301962715188E-01
  0.12499999999999178E+01  0.60718270119726400E-01  0.18068008366513658E+00  0.24139835378486296E+00  0.53897286775309229E-01  0.68133934010222580E-02  0.60710680176331487E-01
  0.12999999999999123E+01  0.60650016136297710E-01  0.17961216367042368E+00  0.24026217980672138E+00  0.52603694082948092E-01  0.68531373695456836E-02  0.59456831452493773E-01
  0.13499999999999068E+01  0.60578080396527276E-01  0.17864774031343819E+00  0.23922582070996545E+00  0.51388870228853356E-01  0.68855169744138165E-02  0.58274387203267171E-01
  0.13999999999999013E+01  0.60503587071213366E-01  0.17777239714223697E+00  0.23827598421345034E+00  0.50248492593569810E-01  0.69117015098998733E-02  0.57160194103469682E-01
  0.14499999999998958E+01  0.60427541799368351E-01  0.17697387189932273E+00  0.23740141369869108E+00  0.49177519500783889E-01  0.69326982414728219E-02  0.56110217742256711E-01
  0.14999999999998903E+01  0.60350793816013229E-01  0.17624180740348278E+00  0.23659260121949599E+00  0.48170712235417856E-01  0.69493684248838018E-02  0.55120080660301655E-01
  0.15499999999998848E+01  0.60274027466765370E-01  0.17556749519316908E+00  0.23584152265993447E+00  0.47222899556458815E-01  0.69624398082775586E-02  0.54185339364736372E-01
  0.15999999999998793E+01  0.60197775819539140E-01  0.17494363041595065E+00  0.23514140623548979E+00  0.46329110163119316E-01  0.69725187706912274E-02  0.53301628933810546E-01
  0.16499999999998738E+01  0.60122445253393705E-01  0.17436408879107712E+00  0.23448653404447084E+00  0.45484656764143788E-01  0.69801044056060878E-02  0.52464761169749879E-01
  0.16999999999998683E+01  0.60048341338825674E-01  0.17382373001938486E+00  0.23387207135821053E+00  0.44685201755247941E-01  0.69856045790275059E-02  0.51670806334275447E-01
  0.17499999999998628E+01  0.59975690473358600E-01  0.17331822799555194E+00  0.23329391846891054E+00  0.43926800439042485E-01  0.69893523029777721E-02  0.50916152742020257E-01
  0.17999999999998573E+01  0.59904655947001707E-01  0.17284392631876247E+00  0.23274858226576417E+00  0.43205910689343083E-01  0.69916204459033182E-02  0.50197531135246401E-01
  0.18499999999998518E+01  0.59835349734275387E-01  0.17239771702325540E+00  0.23223306675753080E+00  0.42519367493884144E-01  0.69926335566893386E-02  0.49512001050573483E-01
  0.18999999999998463E+01  0.59767842024258680E-01  0.17197694034328267E+00  0.23174478236754137E+00  0.41864333712280939E-01  0.69925766794890149E-02  0.48856910391769953E-01
  0.19499999999998407E+01  0.59702169882080589E-01  0.17157930322452694E+00  0.23128147310660752E+00  0.41238245460939668E-01  0.69916018729006980E-02  0.48229847333840364E-01
  0.19999999999998352E+01  0.59638345338892867E-01  0.17120281409033283E+00  0.23084115942922570E+00  0.40638769784294322E-01  0.69898334685324724E-02  0.47628603252826793E-01
  0.20499999999998519E+01  0.59576362390681231E-01  0.17084573117095250E+00  0.23042209356163373E+00  0.40063785638973864E-01  0.69873729743543320E-02  0.47051158613328196E-01
  0.20999999999998686E+01  0.59516202141685834E-01  0.17050652165674099E+00  0.23002272379842681E+00  0.39511390470835267E-01  0.69843041511666697E-02  0.46495694622001940E-01
  0.21499999999998853E+01  0.59457835673036238E-01  0.17018382912625066E+00  0.22964166479928688E+00  0.38979926328619185E-01  0.69806983546299656E-02  0.45960624683249150E-01
  0.21999999999999020E+01  0.59401224847236964E-01  0.16987644710988031E+00  0.22927767195711729E+00  0.38468012984478037E-01  0.69766198512276958E-02  0.45444632835705732E-01
  0.22499999999999187E+01  0.59346321894896720E-01  0.16958329718394627E+00  0.22892961907884299E+00  0.37974571887279970E-01  0.69721305362919848E-02  0.44946702423571953E-01
  0.22999999999999354E+01  0.59293068990785958E-01  0.16930341052554368E+00  0.22859647951632964E+00  0.37498824820452019E-01  0.69672933444544140E-02  0.44466118164906435E-01
  0.23499999999999521E+01  0.59241398989507775E-01  0.16903591229163187E+00  0.22827731128113965E+00  0.37040255363274814E-01  0.69621736929851175E-02  0.44002429056259930E-01
  0.23999999999999688E+01  0.59191238054548630E-01  0.16878000846246943E+00  0.22797124651701806E+00  0.36598530030446254E-01  0.69568385676765611E-02  0.43555368598122812E-01
  0.24499999999999855E+01  0.59142510234275456E-01  0.16853497491012229E+00  0.22767748514439773E+00  0.36173386855986332E-01  0.69513533260670800E-02  0.43124740182053409E-01
  0.25000000000000022E+01  0.59095143307485568E-01  0.16830014845910302E+00  0.22739529176658857E+00  0.35764510220284290E-01  0.69457768527215252E-02  0.42710287073005816E-01
  0.25500000000000189E+01  0.59049074677852809E-01  0.16807491965852162E+00  0.22712399433637442E+00  0.35371417443029476E-01  0.69401561928204014E-02  0.42311573635849878E-01
  0.26000000000000356E+01  0.59004255917463805E-01  0.16785872693862697E+00  0.22686298285609077E+00  0.34993383198873525E-01  0.69345220431042106E-02  0.41927905241977738E-01
  0.26500000000000523E+01  0.58960654789268423E-01  0.16765105181505247E+00  0.22661170660432089E+00  0.34629420878085591E-01  0.69288863826735799E-02  0.41558307260759174E-01
  0.27000000000000690E+01  0.58918254154586611E-01  0.16745141484079007E+00  0.22636966899537669E+00  0.34278327540402831E-01  0.69232430777170072E-02  0.41201570618119840E-01
  0.27500000000000857E+01  0.58877047919618737E-01  0.16725937207776542E+00  0.22613641999738415E+00  0.33938784347924564E-01  0.69175716053867884E-02  0.40856355953311350E-01
  0.28000000000001024E+01  0.58837034876028739E-01  0.16707451194391917E+00  0.22591154681994791E+00  0.33609491380856150E-01  0.69118433010028832E-02  0.40521334681859034E-01
  0.28500000000001191E+01  0.58798211766619618E-01  0.16689645236508363E+00  0.22569466413170325E+00  0.33289308247869270E-01  0.69060289406943937E-02  0.40195337188563662E-01
  0.29000000000001358E+01  0.58760567030971850E-01  0.16672483820824247E+00  0.22548540523921431E+00  0.32977371093189323E-01  0.69001061782992664E-02  0.39877477271488590E-01
  0.29500000000001525E+01  0.58724076472405407E-01  0.16655933898993500E+00  0.22528341546234040E+00  0.32673162889775516E-01  0.68940654183959173E-02  0.39567228308171436E-01
  0.30000000000001692E+01  0.58688701608193353E-01  0.16639964684655589E+00  0.22508834845474923E+00  0.32376524626565886E-01  0.68879130844181182E-02  0.39264437710984007E-01
  0.30500000000001859E+01  0.58654390862200464E-01  0.16624547473397469E+00  0.22489986559617514E+00  0.32087607593688852E-01  0.68816718140887051E-02  0.38969279407777557E-01
  0.31000000000002026E+01  0.58621083195705588E-01  0.16609655480560437E+00  0.22471763800130995E+00  0.31806778228942498E-01  0.68753777326340084E-02  0.38682155961576509E-01
  0.31500000000002193E+01  0.58588713349167015E-01  0.16595263691019091E+00  0.22454135025935792E+00  0.31534494760482937E-01  0.68690754771676471E-02  0.38403570237650585E-01
  0.32000000000002360E+01  0.58557217671543892E-01  0.16581348715762387E+00  0.22437070482916777E+00  0.31271177925000518E-01  0.68628119768851517E-02  0.38133989901885670E-01
