                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.15163234321405553E+00  0.27908393418282279E+00  0.43071627739687834E+00  0.54023612538000043E+00 -0.63979476753148648E-01  0.47625664862685180E+00
  0.10000000000000007E+00  0.13797483848593228E+00  0.21415912055391123E+00  0.35213395903984351E+00  0.52483252368742894E+00 -0.47923528939395589E-01  0.47690899474803333E+00
  0.15000000000000011E+00  0.13312478502695571E+00  0.17339432411849004E+00  0.30651910914544578E+00  0.52864476245158332E+00 -0.36984800959091610E-01  0.49165996149249169E+00
  0.20000000000000015E+00  0.12984787295128072E+00  0.14609090619419859E+00  0.27593877914547932E+00  0.53504234897484104E+00 -0.29397118584161483E-01  0.50564523039067955E+00
  0.25000000000000017E+00  0.12717662919500833E+00  0.12722211890183158E+00  0.25439874809683993E+00  0.53963486701868435E+00 -0.24220499327583373E-01  0.51541436769110094E+00
  0.30000000000000021E+00  0.12713948723767668E+00  0.11363298456178778E+00  0.24077247179946445E+00  0.54631043100975973E+00 -0.20329709230136408E-01  0.52598072177962329E+00
  0.35000000000000026E+00  0.12737115827001044E+00  0.10325091174683704E+00  0.23062207001684748E+00  0.55295914740841678E+00 -0.17254910118331610E-01  0.53570423729008521E+00
  0.40000000000000030E+00  0.12688984927503066E+00  0.95138561658667450E-01  0.22202841093369813E+00  0.55827650205738943E+00 -0.14870080373727737E-01  0.54340642168366171E+00
  0.45000000000000034E+00  0.12631037545760149E+00  0.88727874813973401E-01  0.21503825027157489E+00  0.56296761534845430E+00 -0.13001896397466349E-01  0.54996571895098800E+00
  0.50000000000000033E+00  0.12629015777242864E+00  0.83561501810289124E-01  0.20985165958271776E+00  0.56813718725544859E+00 -0.11461511244743625E-01  0.55667567601070500E+00
  0.54999999999999483E+00  0.12675808726869978E+00  0.79240201809469016E-01  0.20599828907816881E+00  0.57373535925919816E+00 -0.10098653337183591E-01  0.56363670592201454E+00
  0.59999999999998932E+00  0.12717121734521297E+00  0.75508684842797602E-01  0.20267990218801057E+00  0.57888408175597705E+00 -0.88782508421896209E-02  0.57000583091378743E+00
  0.64999999999998381E+00  0.12749058075654365E+00  0.72276135960717233E-01  0.19976671671726087E+00  0.58352911353397507E+00 -0.78100132571025035E-02  0.57571910027687256E+00
  0.69999999999997831E+00  0.12798654999372897E+00  0.69484564399468929E-01  0.19747111439319789E+00  0.58816189616992687E+00 -0.68729170663676493E-02  0.58128897910355926E+00
  0.74999999999997280E+00  0.12857055680122653E+00  0.67039705795428547E-01  0.19561026259665509E+00  0.59261490161728769E+00 -0.60338101414404511E-02  0.58658109147584725E+00
  0.79999999999996729E+00  0.12877174493981847E+00  0.64840960983083520E-01  0.19361270592290197E+00  0.59601048324389849E+00 -0.52814594041157899E-02  0.59072902383978265E+00
  0.84999999999996179E+00  0.12848614445814380E+00  0.62840974646046655E-01  0.19132711910419045E+00  0.59817288719406980E+00 -0.46114873949673514E-02  0.59356139979910250E+00
  0.89999999999995628E+00  0.12836021073463899E+00  0.61048874875145952E-01  0.18940908560978495E+00  0.60036220887609371E+00 -0.39985762558642250E-02  0.59636363262022951E+00
  0.94999999999995077E+00  0.12894050462832130E+00  0.59466160680531240E-01  0.18840666530885253E+00  0.60366779028678419E+00 -0.34164040680583398E-02  0.60025138621872587E+00
  0.99999999999994527E+00  0.12992364463327521E+00  0.58047831640709681E-01  0.18797147627398489E+00  0.60755594299339410E+00 -0.28654226501174324E-02  0.60469052034327664E+00
  0.10499999999999399E+01  0.13074579225681268E+00  0.56744693902271416E-01  0.18749048615908409E+00  0.61093937192517389E+00 -0.23576397316305425E-02  0.60858173219354339E+00
  0.10999999999999344E+01  0.13124047065610572E+00  0.55540959638367818E-01  0.18678143029447353E+00  0.61340233624759932E+00 -0.18957136128665828E-02  0.61150662263473277E+00
  0.11499999999999289E+01  0.13146073702436972E+00  0.54439986800519813E-01  0.18590072382488954E+00  0.61492616800704147E+00 -0.14797406143984477E-02  0.61344642739264299E+00
  0.11999999999999234E+01  0.13144013341931898E+00  0.53446046284216807E-01  0.18488617970353580E+00  0.61551139006244748E+00 -0.11133833498693487E-02  0.61439800671257816E+00
  0.12499999999999178E+01  0.13124907022130183E+00  0.52561464721653656E-01  0.18381053494295549E+00  0.61531083735230951E+00 -0.79642061409185630E-03  0.61451441673821761E+00
  0.12999999999999123E+01  0.13100663675943050E+00  0.51784009951213725E-01  0.18279064671064421E+00  0.61463129763063828E+00 -0.52136683191868725E-03  0.61410993079871956E+00
  0.13499999999999068E+01  0.13079686800146137E+00  0.51104458174991804E-01  0.18190132617645316E+00  0.61372818112876781E+00 -0.27845026296273749E-03  0.61344973086580512E+00
  0.13999999999999013E+01  0.13062876635319517E+00  0.50509335892564525E-01  0.18113810224575971E+00  0.61268608267133862E+00 -0.60903146820691628E-04  0.61262517952451789E+00
  0.14499999999998958E+01  0.13045040706451863E+00  0.49986021525103071E-01  0.18043642858962169E+00  0.61142218376941948E+00  0.13291857988104259E-03  0.61155510234930055E+00
  0.14999999999998903E+01  0.13018436293004906E+00  0.49526112068820162E-01  0.17971047499886922E+00  0.60975903991086600E+00  0.30050671597544199E-03  0.61005954662684148E+00
  0.15499999999998848E+01  0.12976669991148770E+00  0.49125628061519933E-01  0.17889232797300764E+00  0.60752704079535824E+00  0.43810142560789809E-03  0.60796514222096609E+00
  0.15999999999998793E+01  0.12917870203658896E+00  0.48783287776737003E-01  0.17796198981332595E+00  0.60465279024565899E+00  0.54381845430420033E-03  0.60519660869996317E+00
  0.16499999999998738E+01  0.12845536082113257E+00  0.48498242976549630E-01  0.17695360379768221E+00  0.60118787876295987E+00  0.61922996625065436E-03  0.60180710872921050E+00
  0.16999999999998683E+01  0.12765602257616029E+00  0.48267972658934566E-01  0.17592399523509486E+00  0.59725367830385612E+00  0.66822435163509412E-03  0.59792190265549117E+00
  0.17499999999998628E+01  0.12682830397951106E+00  0.48087681502287996E-01  0.17491598548179904E+00  0.59296830949160528E+00  0.69487876878963168E-03  0.59366318826039488E+00
  0.17999999999998573E+01  0.12600114390953290E+00  0.47951352449075793E-01  0.17395249635860871E+00  0.58842643424737429E+00  0.70270587125742349E-03  0.58912914011863171E+00
  0.18499999999998518E+01  0.12519236282620030E+00  0.47852870459089508E-01  0.17304523328528981E+00  0.58370600088573621E+00  0.69473025741558360E-03  0.58440073114315183E+00
  0.18999999999998463E+01  0.12440887072494000E+00  0.47786522435160537E-01  0.17219539316010055E+00  0.57886289685807202E+00  0.67321765380601761E-03  0.57953611451187803E+00
  0.19499999999998407E+01  0.12364546282683933E+00  0.47747325396453169E-01  0.17139278822329251E+00  0.57392523163853892E+00  0.63946247806279327E-03  0.57456469411660172E+00
  0.19999999999998352E+01  0.12289049647085357E+00  0.47731292055550219E-01  0.17062178852640378E+00  0.56890158891766718E+00  0.59410496316712161E-03  0.56949569388083432E+00
  0.20499999999998519E+01  0.12213516087485976E+00  0.47735413023258615E-01  0.16987057389811838E+00  0.56379628769762402E+00  0.53772576388044454E-03  0.56433401346150447E+00
  0.20999999999998686E+01  0.12137972572473613E+00  0.47757342960117653E-01  0.16913706868485379E+00  0.55862174627987926E+00  0.47133514512812352E-03  0.55909308142500735E+00
  0.21499999999998853E+01  0.12063226903582393E+00  0.47795026673607161E-01  0.16842729570943110E+00  0.55340103619393033E+00  0.39643931815169569E-03  0.55379747551208203E+00
  0.21999999999999020E+01  0.11990274981570700E+00  0.47846559536952660E-01  0.16774930935265966E+00  0.54816200301832840E+00  0.31470398703642303E-03  0.54847670700536477E+00
  0.22499999999999187E+01  0.11919920706963616E+00  0.47910271567930027E-01  0.16710947863756620E+00  0.54293126829177774E+00  0.22760650740662994E-03  0.54315887479918434E+00
  0.22999999999999354E+01  0.11852720866690086E+00  0.47984725576891187E-01  0.16651193424379204E+00  0.53773133911137061E+00  0.13630652670309313E-03  0.53786764563807365E+00
  0.23499999999999521E+01  0.11788903341424350E+00  0.48068503754319182E-01  0.16595753716856268E+00  0.53257748507597413E+00  0.41623254588069123E-04  0.53261910833056225E+00
  0.23999999999999688E+01  0.11728262638120535E+00  0.48160033931869205E-01  0.16544266031307456E+00  0.52747558521563709E+00 -0.55940760181701424E-04  0.52741964445545542E+00
  0.24499999999999855E+01  0.11670264239023907E+00  0.48257665129377049E-01  0.16496030751961613E+00  0.52242484561271085E+00 -0.15607465993457484E-03  0.52226877095277624E+00
  0.25000000000000022E+01  0.11614257979695029E+00  0.48359918299611331E-01  0.16450249809656162E+00  0.51742254973623136E+00 -0.25851210731997259E-03  0.51716403762891139E+00
  0.25500000000000189E+01  0.11559585037793631E+00  0.48465765482069337E-01  0.16406161586000564E+00  0.51246561824966663E+00 -0.36299019020029312E-03  0.51210262805946638E+00
  0.26000000000000356E+01  0.11505606044217934E+00  0.48574834195489823E-01  0.16363089463766917E+00  0.50754889480249454E+00 -0.46930456761440842E-03  0.50707959023488014E+00
  0.26500000000000523E+01  0.11451785398280712E+00  0.48687429279237693E-01  0.16320528326204481E+00  0.50266359501692404E+00 -0.57735852394659535E-03  0.50208623649297746E+00
  0.27000000000000690E+01  0.11397821500154159E+00  0.48804286560087201E-01  0.16278250156162880E+00  0.49779790420923647E+00 -0.68714338739491072E-03  0.49711076082184158E+00
  0.27500000000000857E+01  0.11343697540533326E+00  0.48926101232754787E-01  0.16236307663808805E+00  0.49293957683596201E+00 -0.79865921858708394E-03  0.49214091761737494E+00
  0.28000000000001024E+01  0.11289607558784433E+00  0.49053042919192436E-01  0.16194911850703675E+00  0.48808028750844767E+00 -0.91180736811179120E-03  0.48716848014033587E+00
  0.28500000000001191E+01  0.11235821457324423E+00  0.49184511923155538E-01  0.16154272649639978E+00  0.48322070101520354E+00 -0.10262974129472205E-02  0.48219440360225629E+00
  0.29000000000001358E+01  0.11182529496179898E+00  0.49319243836975037E-01  0.16114453879877402E+00  0.47837275553360947E+00 -0.11416392553337744E-02  0.47723111627827569E+00
  0.29500000000001525E+01  0.11129678822372580E+00  0.49455667119737638E-01  0.16075245534346344E+00  0.47355625284507863E+00 -0.12572581983461735E-02  0.47229899464673247E+00
  0.30000000000001692E+01  0.11076894504674914E+00  0.49592323322349682E-01  0.16036126836909881E+00  0.46879208915391413E+00 -0.13726542631706680E-02  0.46741943489074345E+00
  0.30500000000001859E+01  0.11023598689677337E+00  0.49728191356249889E-01  0.15996417825302325E+00  0.46409763584082298E+00 -0.14874776220653351E-02  0.46261015821875762E+00
  0.31000000000002026E+01  0.10969267014711351E+00  0.49862827062050745E-01  0.15955549720916426E+00  0.45948595160215483E+00 -0.16015047439277225E-02  0.45788444685822710E+00
  0.31500000000002193E+01  0.10913610225010523E+00  0.49996294340412063E-01  0.15913239659051728E+00  0.45496551801511353E+00 -0.17146106407931821E-02  0.45325090737432033E+00
  0.32000000000002360E+01  0.10856572205150829E+00  0.50128938381802678E-01  0.15869466043331096E+00  0.45053819353766389E+00 -0.18267817049629955E-02  0.44871141183270091E+00
  0.32500000000002527E+01  0.10798242598338331E+00  0.50261110089516586E-01  0.15824353607289990E+00  0.44619739944766523E+00 -0.19381077858617959E-02  0.44425929166180345E+00
  0.33000000000002694E+01  0.10738814930357819E+00  0.50392945851368158E-01  0.15778109515494634E+00  0.44192940115796092E+00 -0.20487000508468555E-02  0.43988070110711408E+00
  0.33500000000002861E+01  0.10678591973116808E+00  0.50524250310087060E-01  0.15731017004125514E+00  0.43771755361890208E+00 -0.21585740036197602E-02  0.43555897961528234E+00
  0.34000000000003028E+01  0.10617966080303376E+00  0.50654475405577999E-01  0.15683413620861175E+00  0.43354724689751895E+00 -0.22675776845762904E-02  0.43127966921294264E+00
  0.34500000000003195E+01  0.10557358851133659E+00  0.50782761589279281E-01  0.15635635010061588E+00  0.42941003003247535E+00 -0.23753936659976155E-02  0.42703463636647776E+00
  0.35000000000003362E+01  0.10497173570598438E+00  0.50908000909260634E-01  0.15587973661524501E+00  0.42530687737178469E+00 -0.24815760964373556E-02  0.42282530127534734E+00
  0.35500000000003529E+01  0.10437797178497260E+00  0.51028894069969501E-01  0.15540686585494209E+00  0.42125068277859762E+00 -0.25855745844704011E-02  0.41866510819412722E+00
  0.36000000000003696E+01  0.10379626843091436E+00  0.51144001640055656E-01  0.15494027007097000E+00  0.41726720929571559E+00 -0.26867376468980137E-02  0.41458047164881756E+00
  0.36500000000003863E+01  0.10323076387763369E+00  0.51251812537097048E-01  0.15448257641473073E+00  0.41339346192989906E+00 -0.27843216577447174E-02  0.41060914027215434E+00
  0.37000000000004030E+01  0.10268551562942012E+00  0.51350848706726619E-01  0.15403636433614673E+00  0.40967334186911025E+00 -0.28775259075142987E-02  0.40679581596159597E+00
  0.37500000000004197E+01  0.10216417354814217E+00  0.51439797649007427E-01  0.15360397119714958E+00  0.40615162549816386E+00 -0.29655507490164114E-02  0.40318607474914747E+00
  0.38000000000004364E+01  0.10166980039061817E+00  0.51517639649835870E-01  0.15318744004045404E+00  0.40286780839384762E+00 -0.30476632570666327E-02  0.39982014513678099E+00
  0.38500000000004531E+01  0.10120485253592874E+00  0.51583734244014912E-01  0.15278858677994367E+00  0.39985105266523896E+00 -0.31232575528377989E-02  0.39672779511240114E+00
  0.39000000000004698E+01  0.10077119154025656E+00  0.51637849778739829E-01  0.15240904131899638E+00  0.39711686454495387E+00 -0.31919036027859334E-02  0.39392496094216795E+00
  0.39500000000004865E+01  0.10037001899421005E+00  0.51680144951814729E-01  0.15205016394602477E+00  0.39466560053937100E+00 -0.32533822735818889E-02  0.39141221826578909E+00
  0.40000000000005027E+01  0.10000172961970501E+00  0.51711125375672226E-01  0.15171285499537723E+00  0.39248257519152807E+00 -0.33077059564376658E-02  0.38917486923509043E+00
  0.40500000000004750E+01  0.99665760670413800E-01  0.51731595687736324E-01  0.15139735635815013E+00  0.39053943883816050E+00 -0.33551242283682125E-02  0.38718431460979230E+00
  0.41000000000004473E+01  0.99360532960329248E-01  0.51742614567130300E-01  0.15110314752745954E+00  0.38879656184054578E+00 -0.33961136111208172E-02  0.38540044822942499E+00
  0.41500000000004196E+01  0.99083533005415503E-01  0.51745447572320843E-01  0.15082898057773636E+00  0.38720626091826837E+00 -0.34313509035628787E-02  0.38377491001470548E+00
  0.42000000000003919E+01  0.98831516020516666E-01  0.51741509205039275E-01  0.15057302522555593E+00  0.38571669246877976E+00 -0.34616713544783906E-02  0.38225502111430137E+00
  0.42500000000003642E+01  0.98600763938209490E-01  0.51732291621615675E-01  0.15033305555982518E+00  0.38427609733972884E+00 -0.34880151877201152E-02  0.38078808215200871E+00
  0.43000000000003364E+01  0.98387330259495129E-01  0.51719287081463443E-01  0.15010661734095856E+00  0.38283690782955582E+00 -0.35113677772616002E-02  0.37932554005229424E+00
  0.43500000000003087E+01  0.98187228075327287E-01  0.51703917166505735E-01  0.14989114524183303E+00  0.38135914619517636E+00 -0.35326999770195489E-02  0.37782644621815681E+00
  0.44000000000002810E+01  0.97996544338973798E-01  0.51687480179163810E-01  0.14968402451813762E+00  0.37981263174663804E+00 -0.35529155357602645E-02  0.37625971621087778E+00
  0.44500000000002533E+01  0.97811482728391283E-01  0.51671120601063568E-01  0.14948260332945484E+00  0.37817776421255284E+00 -0.35728114647610920E-02  0.37460495274779176E+00
  0.45000000000002256E+01  0.97628351426702689E-01  0.51655816364866977E-01  0.14928416779156967E+00  0.37644497227697238E+00 -0.35930543975788440E-02  0.37285191787939354E+00
  0.45500000000001979E+01  0.97443522749428663E-01  0.51642375845193197E-01  0.14908589859462185E+00  0.37461317742968686E+00 -0.36141723190628080E-02  0.37099900511062406E+00
  0.46000000000001702E+01  0.97253396139077714E-01  0.51631438191029159E-01  0.14888483433010688E+00  0.37268773207969641E+00 -0.36365581627584198E-02  0.36905117391693798E+00
  0.46500000000001425E+01  0.97054392066868611E-01  0.51623475304534455E-01  0.14867786737140307E+00  0.37067824608033040E+00 -0.36604807743226384E-02  0.36701776530600777E+00
  0.47000000000001148E+01  0.96842993498474472E-01  0.51618797407342633E-01  0.14846179090581710E+00  0.36859659387296911E+00 -0.36860994946191867E-02  0.36491049437834994E+00
  0.47500000000000870E+01  0.96615838940476317E-01  0.51617564335926999E-01  0.14823340327640333E+00  0.36645528466942057E+00 -0.37134800912823627E-02  0.36274180457813820E+00
  0.48000000000000593E+01  0.96369861641273549E-01  0.51619802068344288E-01  0.14798966370961783E+00  0.36426632042693785E+00 -0.37426108292513008E-02  0.36052370959768654E+00
  0.48500000000000316E+01  0.96102464606148394E-01  0.51625421119963343E-01  0.14772788572611173E+00  0.36204063571897444E+00 -0.37734175983664166E-02  0.35826721812060802E+00
  0.49000000000000039E+01  0.95811718555902786E-01  0.51634232799575991E-01  0.14744595135547878E+00  0.35978815675241427E+00 -0.38057765306375975E-02  0.35598238022177670E+00
  0.49499999999999762E+01  0.95496566238866140E-01  0.51645961449364453E-01  0.14714252768823061E+00  0.35751840307646199E+00 -0.38395223111940269E-02  0.35367888076526799E+00
  0.49999999999999485E+01  0.95157009793788425E-01  0.51660254172388183E-01  0.14681726396617661E+00  0.35524140743172722E+00 -0.38744511811983173E-02  0.35136695625052888E+00
  0.50499999999999208E+01  0.94794250497665863E-01  0.51676691768579773E-01  0.14647094226624563E+00  0.35296861415903386E+00 -0.39103194858641386E-02  0.34905829467316973E+00
  0.50999999999998931E+01  0.94410747478130261E-01  0.51694804047893450E-01  0.14610555152602372E+00  0.35071340556173658E+00 -0.39468407013010590E-02  0.34676656486043550E+00
  0.51499999999998654E+01  0.94010169102815885E-01  0.51714089608606018E-01  0.14572425871142192E+00  0.34849102789657849E+00 -0.39836849540367744E-02  0.34450734294254171E+00
  0.51999999999998376E+01  0.93597228967518736E-01  0.51734036442690354E-01  0.14533126541020908E+00  0.34631790679049035E+00 -0.40204842999184967E-02  0.34229742249057188E+00
  0.52499999999998099E+01  0.93177423124538611E-01  0.51754137660142280E-01  0.14493156078468089E+00  0.34421056562295560E+00 -0.40568446031002924E-02  0.34015372101985530E+00
  0.52999999999997822E+01  0.92756707349801112E-01  0.51773897531413128E-01  0.14453060488121425E+00  0.34218449143013779E+00 -0.40923618721831860E-02  0.33809212955795459E+00
  0.53499999999997545E+01  0.92341163836076143E-01  0.51792826543577329E-01  0.14413399037965346E+00  0.34025327639022274E+00 -0.41266388719702566E-02  0.33612663751825250E+00
  0.53999999999997268E+01  0.91936701572594121E-01  0.51810428448036037E-01  0.14374713002063016E+00  0.33842821631996511E+00 -0.41592977703968220E-02  0.33426891854956831E+00
  0.54499999999996991E+01  0.91548817302809421E-01  0.51826185191346963E-01  0.14337500249415638E+00  0.33671835055847776E+00 -0.41899864627511531E-02  0.33252836409572661E+00
