                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.51956164439669862E-01  0.28955184646281001E+00  0.34150801090247990E+00  0.74400381499382051E-01 -0.30090815621701631E-02  0.71391299937211883E-01
  0.10000000000000007E+00  0.45564214055153610E-01  0.22398971512606458E+00  0.26955392918121818E+00  0.84561706024252031E-01 -0.12334960843882951E-02  0.83328209939863743E-01
  0.15000000000000011E+00  0.42735361419306492E-01  0.18240322841774068E+00  0.22513858983704715E+00  0.91977716474680879E-01 -0.10035761926061215E-03  0.91877358855420269E-01
  0.20000000000000015E+00  0.40989196514800971E-01  0.15462968881847830E+00  0.19561888533327926E+00  0.96050035210264659E-01  0.65711015847650051E-03  0.96707145368741157E-01
  0.25000000000000017E+00  0.39783624955523955E-01  0.13526835233579382E+00  0.17505197729131777E+00  0.98048834393618972E-01  0.11852250662212533E-02  0.99234059459840221E-01
  0.30000000000000021E+00  0.39158673519484016E-01  0.12126475697602687E+00  0.16042343049551089E+00  0.98569411886624547E-01  0.15579898200091941E-02  0.10012740170663374E+00
  0.35000000000000026E+00  0.38919903729347533E-01  0.11084949106114318E+00  0.14976939479049073E+00  0.98502390106672222E-01  0.18347798279631726E-02  0.10033716993463540E+00
  0.40000000000000030E+00  0.38794767679818425E-01  0.10291493149046281E+00  0.14170969917028123E+00  0.98578772778052548E-01  0.20584235728558437E-02  0.10063719635090840E+00
  0.45000000000000034E+00  0.38716228882719916E-01  0.96711591397554586E-01  0.13542782028027450E+00  0.98717956160721099E-01  0.22499884835266251E-02  0.10096794464424773E+00
  0.50000000000000033E+00  0.38709207283991978E-01  0.91739822241708832E-01  0.13044902952570081E+00  0.98678206845677463E-01  0.24194335583163449E-02  0.10109764040399381E+00
  0.54999999999999483E+00  0.38754088397418653E-01  0.87674646545694374E-01  0.12642873494311302E+00  0.98497141273091032E-01  0.25732411269116023E-02  0.10107038240000263E+00
  0.59999999999998932E+00  0.38819193259808815E-01  0.84296884240446318E-01  0.12311607750025513E+00  0.98221642786644470E-01  0.27138246180483630E-02  0.10093546740469284E+00
  0.64999999999998381E+00  0.38902271851103905E-01  0.81450847306740043E-01  0.12035311915784394E+00  0.97799074108865347E-01  0.28412644254282274E-02  0.10064033853429358E+00
  0.69999999999997831E+00  0.39001763913038903E-01  0.79023021683969366E-01  0.11802478559700827E+00  0.97218546436979983E-01  0.29571101213942430E-02  0.10017565655837422E+00
  0.74999999999997280E+00  0.39100949144264430E-01  0.76929303622034706E-01  0.11603025276629914E+00  0.96497928230409008E-01  0.30635558461181629E-02  0.99561484076527165E-01
  0.79999999999996729E+00  0.39189071428380073E-01  0.75107015951959080E-01  0.11429608738033915E+00  0.95600392779172927E-01  0.31608999271133058E-02  0.98761292706286238E-01
  0.84999999999996179E+00  0.39270485804109481E-01  0.73509869306109921E-01  0.11278035511021940E+00  0.94483500561172468E-01  0.32486824134608655E-02  0.97732182974633333E-01
  0.89999999999995628E+00  0.39351113781042932E-01  0.72102898118289266E-01  0.11145401189933220E+00  0.93169808410469623E-01  0.33278428527373843E-02  0.96497651263207002E-01
  0.94999999999995077E+00  0.39427234137935654E-01  0.70857948636309481E-01  0.11028518277424514E+00  0.91712412644122887E-01  0.34000397016121201E-02  0.95112452345735010E-01
  0.99999999999994527E+00  0.39488771314709875E-01  0.69752048815277953E-01  0.10924082012998783E+00  0.90129291652559923E-01  0.34657440636557220E-02  0.93595035716215649E-01
  0.10499999999999399E+01  0.39529287211546790E-01  0.68767459007317774E-01  0.10829674621886456E+00  0.88400027577368881E-01  0.35240094709261078E-02  0.91924037048294993E-01
  0.10999999999999344E+01  0.39551067993725264E-01  0.67890911424787440E-01  0.10744197941851270E+00  0.86512775063254221E-01  0.35738593261703169E-02  0.90086634389424533E-01
  0.11499999999999289E+01  0.39561417391002565E-01  0.67111799948425283E-01  0.10667321733942785E+00  0.84495569026660347E-01  0.36153626182280772E-02  0.88110931644888424E-01
  0.11999999999999234E+01  0.39565223905412047E-01  0.66420604526318761E-01  0.10598582843173081E+00  0.82403487895035751E-01  0.36494637215177118E-02  0.86052951616553464E-01
  0.12499999999999178E+01  0.39562198452982388E-01  0.65808275672401648E-01  0.10537047412538403E+00  0.80292265805588264E-01  0.36772429112563428E-02  0.83969508716844610E-01
  0.12999999999999123E+01  0.39550467740661427E-01  0.65266148220194081E-01  0.10481661596085551E+00  0.78209794289002404E-01  0.36995782523041583E-02  0.81909372541306563E-01
  0.13499999999999068E+01  0.39530294518316605E-01  0.64785875929238651E-01  0.10431617044755526E+00  0.76199400477257401E-01  0.37173123744595367E-02  0.79916712851716934E-01
  0.13999999999999013E+01  0.39503584769538747E-01  0.64359355901552617E-01  0.10386294067109136E+00  0.74295782857860704E-01  0.37313572011834057E-02  0.78027140059044112E-01
  0.14499999999998958E+01  0.39471563969716877E-01  0.63978864064408433E-01  0.10345042803412531E+00  0.72514029702267044E-01  0.37424968191820877E-02  0.76256526521449125E-01
  0.14999999999998903E+01  0.39434649552241963E-01  0.63637468729799626E-01  0.10307211828204159E+00  0.70847040520297999E-01  0.37512061360780520E-02  0.74598246656376058E-01
  0.15499999999998848E+01  0.39394391506017291E-01  0.63329434525373360E-01  0.10272382603139066E+00  0.69276563838021318E-01  0.37577253129069425E-02  0.73034289150928258E-01
  0.15999999999998793E+01  0.39354223561009857E-01  0.63050302062170452E-01  0.10240452562318031E+00  0.67787814326682266E-01  0.37622569494041411E-02  0.71550071276086410E-01
  0.16499999999998738E+01  0.39317661923101481E-01  0.62796619306616785E-01  0.10211428122971827E+00  0.66376891577383718E-01  0.37650931472929380E-02  0.70141984724676656E-01
  0.16999999999998683E+01  0.39285988494703154E-01  0.62565526628905618E-01  0.10185151512360877E+00  0.65048400906922446E-01  0.37666366351423088E-02  0.68815037542064750E-01
  0.17499999999998628E+01  0.39257817485561688E-01  0.62354399504466813E-01  0.10161221699002851E+00  0.63807074405033373E-01  0.37673426051125208E-02  0.67574417010145896E-01
  0.17999999999998573E+01  0.39230565465379078E-01  0.62160643613506386E-01  0.10139120907888546E+00  0.62649496194167320E-01  0.37675942524882976E-02  0.66417090446655613E-01
  0.18499999999998518E+01  0.39202144260660897E-01  0.61981680354884258E-01  0.10118382461554515E+00  0.61561251070880382E-01  0.37675664721738044E-02  0.65328817543054182E-01
  0.18999999999998463E+01  0.39171702706660656E-01  0.61815125195845984E-01  0.10098682790250664E+00  0.60521179773845191E-01  0.37671762245453481E-02  0.64288355998390542E-01
  0.19499999999998407E+01  0.39139505597073500E-01  0.61659055441050908E-01  0.10079856103812440E+00  0.59509777505569836E-01  0.37661709757145791E-02  0.63275948481284414E-01
