                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.87645961999335731E+00  0.26003670148323169E-01  0.90246329014168047E+00  0.13719064605185209E+01 -0.17648224488355103E-01  0.13542582360301658E+01
  0.10000000000000007E+00  0.59977941771131049E+00  0.22913801292372228E-01  0.62269321900368269E+00  0.11313212078596098E+01 -0.16776471239714812E-01  0.11145447366198951E+01
  0.15000000000000011E+00  0.58406649601797955E+00  0.20250309687502417E-01  0.60431680570548196E+00  0.11381881318407283E+01 -0.15281737967281115E-01  0.11229063938734472E+01
  0.20000000000000015E+00  0.56892214800694318E+00  0.17768866398445431E-01  0.58669101440538862E+00  0.11285802015838682E+01 -0.13222289470326318E-01  0.11153579121135420E+01
  0.25000000000000017E+00  0.54997090666273762E+00  0.15169912145640641E-01  0.56514081880837830E+00  0.11267108478248327E+01 -0.11140070830962603E-01  0.11155707769938701E+01
  0.30000000000000021E+00  0.49690451679803316E+00  0.13154974655722551E-01  0.51005949145375573E+00  0.10910425387799019E+01 -0.99340099115972393E-02  0.10811085288683047E+01
  0.35000000000000026E+00  0.53878298457691476E+00  0.11482538194129357E-01  0.55026552277104412E+00  0.11353689359782919E+01 -0.87474775645433860E-02  0.11266214584137486E+01
  0.40000000000000030E+00  0.56056270546588682E+00  0.95249337259583171E-02  0.57008763919184513E+00  0.11586879787924127E+01 -0.70580689145418778E-02  0.11516299098778708E+01
  0.45000000000000034E+00  0.57273943743847366E+00  0.75667525976367842E-02  0.58030619003611050E+00  0.11756918183494083E+01 -0.54548940106258111E-02  0.11702369243387825E+01
  0.50000000000000033E+00  0.57942445127037523E+00  0.60019617952845571E-02  0.58542641306565979E+00  0.11860966720697399E+01 -0.42159001516005159E-02  0.11818807719181394E+01
  0.54999999999999483E+00  0.58224389221025885E+00  0.45649094139330049E-02  0.58680880162419191E+00  0.11913407472195867E+01 -0.30452638569258470E-02  0.11882954833626609E+01
  0.59999999999998932E+00  0.58544771262095541E+00  0.34340234683059700E-02  0.58888173608926142E+00  0.11969491568437740E+01 -0.22546213750323897E-02  0.11946945354687417E+01
  0.64999999999998381E+00  0.60471419524599845E+00  0.24109384926544004E-02  0.60712513373865284E+00  0.12117946480120847E+01 -0.15203498272653806E-02  0.12102742981848194E+01
  0.69999999999997831E+00  0.62827965076070547E+00  0.12843402712903167E-02  0.62956399103199578E+00  0.12283470739829954E+01 -0.62494659380365135E-03  0.12277221273891916E+01
  0.74999999999997280E+00  0.64726953042515378E+00  0.23873296815043679E-03  0.64750826339330425E+00  0.12392722990071723E+01  0.40868632501302920E-03  0.12396809853321853E+01
  0.79999999999996729E+00  0.65974915730266548E+00 -0.65678017107630973E-03  0.65909237713158919E+00  0.12449032144929864E+01  0.13310465173902817E-02  0.12462342610103767E+01
  0.84999999999996179E+00  0.66822441735700322E+00 -0.14315339744579688E-02  0.66679288338254528E+00  0.12466834025202904E+01  0.21096646972284432E-02  0.12487930672175189E+01
  0.89999999999995628E+00  0.67337576608007821E+00 -0.20065365621173199E-02  0.67136922951796085E+00  0.12463486182258563E+01  0.26465869122172434E-02  0.12489952051380735E+01
  0.94999999999995077E+00  0.66758217409705300E+00 -0.25071990543605142E-02  0.66507497504269253E+00  0.12355451096318943E+01  0.30747745707915860E-02  0.12386198842026859E+01
  0.99999999999994527E+00  0.66963582873588479E+00 -0.30521090644868971E-02  0.66658371967139785E+00  0.12296743011791551E+01  0.36180763825003869E-02  0.12332923775616556E+01
  0.10499999999999399E+01  0.69133111587936646E+00 -0.34294626598475385E-02  0.68790165321951890E+00  0.12403095799237929E+01  0.40613956558610302E-02  0.12443709755796539E+01
  0.10999999999999344E+01  0.72224071221981756E+00 -0.37539055866773348E-02  0.71848680663314024E+00  0.12582529036741961E+01  0.44094126118588255E-02  0.12626623162860549E+01
  0.11499999999999289E+01  0.74357647840966246E+00 -0.40825274567587808E-02  0.73949395095290371E+00  0.12678261823473134E+01  0.47229522495573642E-02  0.12725491345968707E+01
