                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.10979649676441930E+00  0.67576656847046601E+00  0.78556306523488528E+00  0.24302457596516350E+00 -0.48572978939367489E-01  0.19445159702579601E+00
  0.10000000000000007E+00  0.87514652220093817E-01  0.45199197270460240E+00  0.53950662492469625E+00  0.22177604936645001E+00 -0.30458893192766179E-01  0.19131715617368383E+00
  0.15000000000000011E+00  0.80139788976290594E-01  0.37085526332966623E+00  0.45099505230595682E+00  0.21929069061886997E+00 -0.23326249010860407E-01  0.19596444160800955E+00
  0.20000000000000015E+00  0.76625829295837528E-01  0.32691652615653571E+00  0.40354235545237327E+00  0.22066752989588917E+00 -0.19018046772808977E-01  0.20164948312308020E+00
  0.25000000000000017E+00  0.74754540129000721E-01  0.29814319481074769E+00  0.37289773493974843E+00  0.22289105828360833E+00 -0.15933203989223828E-01  0.20695785429438451E+00
  0.30000000000000021E+00  0.73688645168195649E-01  0.27736706955062768E+00  0.35105571471882335E+00  0.22521142148998899E+00 -0.13537173095079782E-01  0.21167424839490920E+00
  0.35000000000000026E+00  0.73050444339866683E-01  0.26148396278386654E+00  0.33453440712373322E+00  0.22734956803060827E+00 -0.11594079454261297E-01  0.21575548857634697E+00
  0.40000000000000030E+00  0.72662145352558064E-01  0.24888018860579442E+00  0.32154233395835247E+00  0.22920439082744690E+00 -0.99734447340049555E-02  0.21923094609344193E+00
  0.45000000000000034E+00  0.72427597755487683E-01  0.23861041599762392E+00  0.31103801375311158E+00  0.23075204494387619E+00 -0.85939168151725025E-02  0.22215812812870370E+00
  0.50000000000000033E+00  0.72288043468781565E-01  0.23007506595422028E+00  0.30236310942300182E+00  0.23199111039794562E+00 -0.74023464818932490E-02  0.22458876391605237E+00
  0.54999999999999483E+00  0.72205842862234859E-01  0.22287212376166229E+00  0.29507796662389718E+00  0.23292704419633486E+00 -0.63623855342808192E-02  0.22656465866205405E+00
  0.59999999999998932E+00  0.72155387644182542E-01  0.21672036361357494E+00  0.28887575125775750E+00  0.23356839655319805E+00 -0.54482260563563046E-02  0.22812017049684175E+00
  0.64999999999998381E+00  0.72118323482505658E-01  0.21141643812416622E+00  0.28353476160667190E+00  0.23392535559315469E+00 -0.46409387841352583E-02  0.22928441680901943E+00
  0.69999999999997831E+00  0.72081965714399565E-01  0.20680955509949453E+00  0.27889152081389412E+00  0.23401171433421458E+00 -0.39258751050530571E-02  0.23008583922916154E+00
  0.74999999999997280E+00  0.72038360357967526E-01  0.20278554769313251E+00  0.27482390805110002E+00  0.23384721269344597E+00 -0.32910575095302895E-02  0.23055615518391567E+00
  0.79999999999996729E+00  0.71982744711659399E-01  0.19925618316626537E+00  0.27123892787792475E+00  0.23345648537141434E+00 -0.27265624965717855E-02  0.23072992287484256E+00
  0.84999999999996179E+00  0.71911959103280521E-01  0.19615171345332599E+00  0.26806367255660651E+00  0.23286532221637468E+00 -0.22243805362364023E-02  0.23064094168013827E+00
  0.89999999999995628E+00  0.71823616675095181E-01  0.19341563120639710E+00  0.26523924788149228E+00  0.23209757397620129E+00 -0.17781935362163122E-02  0.23031938043998498E+00
  0.94999999999995077E+00  0.71716082982367563E-01  0.19100096798839863E+00  0.26271705097076620E+00  0.23117462028162616E+00 -0.13829002871019605E-02  0.22979171999452419E+00
  0.99999999999994527E+00  0.71588760014888370E-01  0.18886768208066004E+00  0.26045644209554841E+00  0.23011670655737032E+00 -0.10340522004366110E-02  0.22908265435693370E+00
  0.10499999999999399E+01  0.71442212230144964E-01  0.18698085511632576E+00  0.25842306734647069E+00  0.22894433391917157E+00 -0.72741999599451211E-03  0.22821691392317706E+00
  0.10999999999999344E+01  0.71278003715094379E-01  0.18530952229976738E+00  0.25658752601486179E+00  0.22767849311978949E+00 -0.45879615277383268E-03  0.22721969696701566E+00
  0.11499999999999289E+01  0.71098363086332647E-01  0.18382598989180859E+00  0.25492435297814126E+00  0.22633972076610112E+00 -0.22400663191995051E-03  0.22611571413418116E+00
  0.11999999999999234E+01  0.70905843347277731E-01  0.18250548615271148E+00  0.25341132949998924E+00  0.22494672321726372E+00 -0.19035727367713515E-04  0.22492768748989600E+00
  0.12499999999999178E+01  0.70703074593355411E-01  0.18132599401750976E+00  0.25202906861086516E+00  0.22351537653664277E+00  0.15983617681823497E-03  0.22367521271346100E+00
  0.12999999999999123E+01  0.70492622278190947E-01  0.18026814269268313E+00  0.25076076497087407E+00  0.22205850585710338E+00  0.31594570608742137E-03  0.22237445156319080E+00
  0.13499999999999068E+01  0.70276915876002599E-01  0.17931508163980306E+00  0.24959199751580566E+00  0.22058636037497389E+00  0.45222692504978809E-03  0.22103858730002368E+00
