                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.64941044742475351E+00  0.21729188900763063E+00  0.86670233643238415E+00 -0.11182591940892341E+01  0.12462471902952048E+00 -0.99363447505971370E+00
  0.10000000000000007E+00  0.55495836096787832E+00  0.16611608398213321E+00  0.72107444495001149E+00 -0.99166768270024219E+00  0.92463654479060242E-01 -0.89920402822118195E+00
  0.15000000000000011E+00  0.54611073103887864E+00  0.13422560267755848E+00  0.68033633371643709E+00 -0.97250306949141252E+00  0.70095421952723086E-01 -0.90240764753868941E+00
  0.20000000000000015E+00  0.55969050092708750E+00  0.11214256541462596E+00  0.67183306634171347E+00 -0.98013917218735946E+00  0.53462434856072431E-01 -0.92667673733128708E+00
  0.25000000000000017E+00  0.56732307305782881E+00  0.94883971834467409E-01  0.66220704489229620E+00 -0.98273137004641475E+00  0.40786437339299791E-01 -0.94194493270711499E+00
  0.30000000000000021E+00  0.57485791192719093E+00  0.82059671795796582E-01  0.65691758372298747E+00 -0.98590510842819090E+00  0.31513840943567573E-01 -0.95439126748462333E+00
  0.35000000000000026E+00  0.58415671564399196E+00  0.72694603532619487E-01  0.65685131917661144E+00 -0.99088600140603467E+00  0.24457598813297211E-01 -0.96642840259273743E+00
  0.40000000000000030E+00  0.59243656968478731E+00  0.65069001227548023E-01  0.65750557091233530E+00 -0.99504129885599046E+00  0.18516684524448226E-01 -0.97652461433154225E+00
  0.45000000000000034E+00  0.59957684967361846E+00  0.58442542028548233E-01  0.65801939170216672E+00 -0.99850006460345919E+00  0.13393815762639552E-01 -0.98510624884081965E+00
  0.50000000000000033E+00  0.60659091043853131E+00  0.52800521040148658E-01  0.65939143147867996E+00 -0.10021428919630238E+01  0.91096094477645627E-02 -0.99303328251525924E+00
  0.54999999999999483E+00  0.61412781826255014E+00  0.48119902259004796E-01  0.66224772052155489E+00 -0.10065476705918475E+01  0.55908257316648448E-02 -0.10009568448601827E+01
  0.59999999999998932E+00  0.62221166707900000E+00  0.44242192634664716E-01  0.66645385971366466E+00 -0.10116948570084396E+01  0.26703573973525683E-02 -0.10090244996110871E+01
  0.64999999999998381E+00  0.63098083029336705E+00  0.40959521143061839E-01  0.67194035143642883E+00 -0.10176683307913064E+01  0.16796906051919688E-03 -0.10175003617307872E+01
  0.69999999999997831E+00  0.64056653936273411E+00  0.38120517219691820E-01  0.67868705658242590E+00 -0.10245720270857268E+01 -0.20246367399263353E-02 -0.10265966638256532E+01
  0.74999999999997280E+00  0.65047721033676842E+00  0.35646100487361776E-01  0.68612331082413025E+00 -0.10318652241150239E+01 -0.39389322457137445E-02 -0.10358041563607376E+01
  0.79999999999996729E+00  0.65963035324372499E+00  0.33488236527509214E-01  0.69311858977123419E+00 -0.10383512964529955E+01 -0.55738938039481536E-02 -0.10439251902569437E+01
  0.84999999999996179E+00  0.66702454357802465E+00  0.31599126865308344E-01  0.69862367044333296E+00 -0.10428900671649539E+01 -0.69344852540267950E-02 -0.10498245524189806E+01
  0.89999999999995628E+00  0.67275233636101450E+00  0.29935762409500296E-01  0.70268809877051475E+00 -0.10455359281725216E+01 -0.80587511427630543E-02 -0.10535946793152846E+01
  0.94999999999995077E+00  0.67789324625447400E+00  0.28462314090327730E-01  0.70635556034480174E+00 -0.10474563696651331E+01 -0.90111395121665033E-02 -0.10564675091772997E+01
  0.99999999999994527E+00  0.68378834237885566E+00  0.27154478363076419E-01  0.71094282074193205E+00 -0.10501664232708012E+01 -0.98552898415501834E-02 -0.10600217131123515E+01
  0.10499999999999399E+01  0.69099570184179593E+00  0.26001303038352318E-01  0.71699700488014828E+00 -0.10543444463548781E+01 -0.10621865718547282E-01 -0.10649663120734254E+01
  0.10999999999999344E+01  0.69882520165006345E+00  0.24986810312944474E-01  0.72381201196300793E+00 -0.10592628813374028E+01 -0.11306193453170134E-01 -0.10705690747905729E+01
  0.11499999999999289E+01  0.70622357327100205E+00  0.24086312838055342E-01  0.73030988610905734E+00 -0.10637673362754159E+01 -0.11897980587018721E-01 -0.10756653168624346E+01
  0.11999999999999234E+01  0.71263938153713413E+00  0.23277278050648241E-01  0.73591665958778241E+00 -0.10672436704530202E+01 -0.12401137149030846E-01 -0.10796448076020511E+01
