                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.39109464662260118E-01  0.37563469223669467E-01  0.76672933885929578E-01 -0.18620620861705445E+00  0.47615999488414898E-02 -0.18144460866821296E+00
  0.10000000000000007E+00  0.36682662628005777E-01  0.36012763108012547E-01  0.72695425736018324E-01 -0.18686909782695565E+00  0.46067803892810184E-02 -0.18226231743767463E+00
  0.15000000000000011E+00  0.32977111381955103E-01  0.34818930110905789E-01  0.67796041492860892E-01 -0.18001909512229008E+00  0.44749156427789588E-02 -0.17554417947951112E+00
  0.20000000000000015E+00  0.30359985853095614E-01  0.33811652503898261E-01  0.64171638356993882E-01 -0.18301123955781087E+00  0.43613311777992315E-02 -0.17864990838001163E+00
  0.25000000000000017E+00  0.28732375967983989E-01  0.32941413837116865E-01  0.61673789805100854E-01 -0.19296944735594423E+00  0.42660195750503426E-02 -0.18870342778089388E+00
  0.30000000000000021E+00  0.27552302520001432E-01  0.32208181402913601E-01  0.59760483922915032E-01 -0.20379925350435316E+00  0.41982948844709227E-02 -0.19960095861988222E+00
  0.35000000000000026E+00  0.26667992037324631E-01  0.31577037670884135E-01  0.58245029708208766E-01 -0.20630264685469324E+00  0.41580041681397052E-02 -0.20214464268655352E+00
  0.40000000000000030E+00  0.25458247098141901E-01  0.31032381339359101E-01  0.56490628437501002E-01 -0.20486639484483674E+00  0.41322846236395575E-02 -0.20073411022119717E+00
  0.45000000000000034E+00  0.23263936784043350E-01  0.30578346208365366E-01  0.53842282992408716E-01 -0.20251739212132738E+00  0.41235327661375311E-02 -0.19839385935518986E+00
  0.50000000000000033E+00  0.21317650070424448E-01  0.30198590984435392E-01  0.51516241054859843E-01 -0.20191386925368479E+00  0.41184540921537002E-02 -0.19779541516153110E+00
  0.54999999999999483E+00  0.21841529316527830E-01  0.29894885666696625E-01  0.51736414983224455E-01 -0.21050223843464083E+00  0.41086261960678588E-02 -0.20639361223857297E+00
  0.59999999999998932E+00  0.22468895512848717E-01  0.29631430844524912E-01  0.52100326357373633E-01 -0.21781729673875375E+00  0.41038646297224647E-02 -0.21371343210903129E+00
  0.64999999999998381E+00  0.23160062262038747E-01  0.29418644583168691E-01  0.52578706845207435E-01 -0.22392634698050146E+00  0.41019103552492591E-02 -0.21982443662525220E+00
  0.69999999999997831E+00  0.23705932715874976E-01  0.29251526655288844E-01  0.52957459371163820E-01 -0.22978482361912286E+00  0.41074642219020678E-02 -0.22567735939722081E+00
  0.74999999999997280E+00  0.23911254663628680E-01  0.29107079946582941E-01  0.53018334610211618E-01 -0.23518576348089409E+00  0.41118459889797083E-02 -0.23107391749191439E+00
  0.79999999999996729E+00  0.23708307355780188E-01  0.28983214050386709E-01  0.52691521406166897E-01 -0.23702434371320519E+00  0.41165413031670397E-02 -0.23290780241003814E+00
  0.84999999999996179E+00  0.23200085884260487E-01  0.28871290623753973E-01  0.52071376508014459E-01 -0.23696277876936966E+00  0.41224472609869443E-02 -0.23284033150838271E+00
  0.89999999999995628E+00  0.22733329042356556E-01  0.28769647975812097E-01  0.51502977018168652E-01 -0.23786785170755467E+00  0.41251994052241602E-02 -0.23374265230233052E+00
