                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.13999999999999013E+01  0.22294036311467119E+00  0.35442289949809011E-01  0.25838265306448022E+00 -0.70096839852216508E+00 -0.33082153739254000E-03 -0.70129922005955758E+00
  0.14499999999998958E+01  0.22631220498521273E+00  0.34371788672752659E-01  0.26068399365796541E+00 -0.71009886046947590E+00 -0.72322388764918056E-03 -0.71082208435712513E+00
  0.14999999999998903E+01  0.22967392611651699E+00  0.33383991774826566E-01  0.26305791789134358E+00 -0.71911319952665242E+00 -0.10951755489753911E-02 -0.72020837507562785E+00
  0.15499999999998848E+01  0.23293195975050521E+00  0.32476668417225567E-01  0.26540862816773075E+00 -0.72773315549012607E+00 -0.14425474562228360E-02 -0.72917570294634892E+00
  0.15999999999998793E+01  0.23598645562557213E+00  0.31650117274474331E-01  0.26763657290004644E+00 -0.73567001817605182E+00 -0.17603633692826568E-02 -0.73743038154533447E+00
  0.16499999999998738E+01  0.23875484717575032E+00  0.30908448996033962E-01  0.26966329617178431E+00 -0.74268356816559666E+00 -0.20440647538474844E-02 -0.74472763291944410E+00
  0.16999999999998683E+01  0.24118619306145533E+00  0.30259694063507026E-01  0.27144588712496237E+00 -0.74861506681667156E+00 -0.22901762345787233E-02 -0.75090524305125028E+00
  0.17499999999998628E+01  0.24326303279706793E+00  0.29715077972525893E-01  0.27297811076959383E+00 -0.75338817013146353E+00 -0.24964247771717988E-02 -0.75588459490863535E+00
  0.17999999999998573E+01  0.24498705190615802E+00  0.29287504151576396E-01  0.27427455605773443E+00 -0.75696975293314073E+00 -0.26612168992750573E-02 -0.75963096983241574E+00
  0.18499999999998518E+01  0.24635675067795340E+00  0.28989997006660020E-01  0.27534674768461342E+00 -0.75931230482084200E+00 -0.27826797617684527E-02 -0.76209498458261049E+00
  0.18999999999998463E+01  0.24735363347596656E+00  0.28835116373265690E-01  0.27618874984923225E+00 -0.76032003497985978E+00 -0.28579287819135834E-02 -0.76317796376177338E+00
  0.19499999999998407E+01  0.24794403366835963E+00  0.28835400773287327E-01  0.27677943444164693E+00 -0.75985570615433873E+00 -0.28830083609022675E-02 -0.76273871451524100E+00
