                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.14163644248283480E+00  0.36452433186847155E-01  0.17808887566968196E+00  0.56876872772338705E+00 -0.85291706569271108E-02  0.56023955706645989E+00
  0.10000000000000007E+00  0.11688387408787769E+00  0.34420368465941528E-01  0.15130424255381922E+00  0.52301040840966895E+00 -0.83171836128368339E-02  0.51469322479683211E+00
  0.15000000000000011E+00  0.11204017607574895E+00  0.32573574266803317E-01  0.14461375034255228E+00  0.52143715841528149E+00 -0.78523150383241480E-02  0.51358484337695731E+00
  0.20000000000000015E+00  0.10643593019462136E+00  0.30881358437453491E-01  0.13731728863207485E+00  0.52785116021886702E+00 -0.73517644867721332E-02  0.52049939573209492E+00
  0.25000000000000017E+00  0.97654532137150085E-01  0.29337950568723022E-01  0.12699248270587310E+00  0.52962628588236271E+00 -0.68909992170286009E-02  0.52273528666533409E+00
  0.30000000000000021E+00  0.97270951469805481E-01  0.28002770981904818E-01  0.12527372245171031E+00  0.53703356186315465E+00 -0.64008419779547467E-02  0.53063271988519989E+00
  0.35000000000000026E+00  0.96581452422768235E-01  0.26654250634908439E-01  0.12323570305767667E+00  0.53980113132920515E+00 -0.59104265699090122E-02  0.53389070475929612E+00
  0.40000000000000030E+00  0.92484839776797181E-01  0.25400725243015919E-01  0.11788556501981309E+00  0.53783778897121737E+00 -0.54485172698069640E-02  0.53238927170141037E+00
  0.45000000000000034E+00  0.87849883487058383E-01  0.24280270534380165E-01  0.11213015402143856E+00  0.53802573534910469E+00 -0.50146019551277378E-02  0.53301113339397699E+00
  0.50000000000000033E+00  0.85366836468045562E-01  0.23248146263631451E-01  0.10861498273167701E+00  0.54196143210857861E+00 -0.46113829285291405E-02  0.53735004918004947E+00
  0.54999999999999483E+00  0.84949415703427678E-01  0.22351963797157141E-01  0.10730137950058483E+00  0.54659881801209886E+00 -0.42378957164960710E-02  0.54236092229560284E+00
  0.59999999999998932E+00  0.85849743124341432E-01  0.21440412854382019E-01  0.10729015597872345E+00  0.55633397667554041E+00 -0.38406404928412905E-02  0.55249333618269914E+00
  0.64999999999998381E+00  0.86616238787920741E-01  0.20591588631040436E-01  0.10720782741896118E+00  0.56719356649618546E+00 -0.34582330863322020E-02  0.56373533340985327E+00
  0.69999999999997831E+00  0.87241745548127136E-01  0.19807342950315849E-01  0.10704908849844298E+00  0.57800336714336542E+00 -0.31173993494753409E-02  0.57488596779389012E+00
  0.74999999999997280E+00  0.88952928747572824E-01  0.19107874249869587E-01  0.10806080299744242E+00  0.58914932494729910E+00 -0.28109781717164562E-02  0.58633834677558261E+00
