                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.23059171955704547E+00  0.35028896896236776E-01  0.26562061645328222E+00  0.75304695578466874E+00 -0.10925220473632816E-01  0.74212173531103587E+00
  0.10000000000000007E+00  0.17654472934017998E+00  0.32819755380672021E-01  0.20936448472085201E+00  0.66629561443413654E+00 -0.10676165603946549E-01  0.65561944883018997E+00
  0.15000000000000011E+00  0.16785733551840346E+00  0.30802752057037454E-01  0.19866008757544090E+00  0.65841598627284526E+00 -0.10037401573193279E-01  0.64837858469965193E+00
  0.20000000000000015E+00  0.16296483149227264E+00  0.28803174514160833E-01  0.19176800600643348E+00  0.67187116339338604E+00 -0.92378914592411467E-02  0.66263327193414490E+00
  0.25000000000000017E+00  0.14872545135841209E+00  0.26999808001480503E-01  0.17572525935989258E+00  0.66797538453860716E+00 -0.85705211804144536E-02  0.65940486335819271E+00
  0.30000000000000021E+00  0.14772966553179498E+00  0.25600381973592774E-01  0.17333004750538775E+00  0.67236970915662764E+00 -0.79908875370379284E-02  0.66437882161958972E+00
  0.35000000000000026E+00  0.14875301037466654E+00  0.24070138798452753E-01  0.17282314917311931E+00  0.67890239606136482E+00 -0.72547207686428517E-02  0.67164767529272196E+00
  0.40000000000000030E+00  0.14365107746394973E+00  0.22532784421764217E-01  0.16618386188571393E+00  0.68105168058006271E+00 -0.65458295857419068E-02  0.67450585099432081E+00
  0.45000000000000034E+00  0.13670295034902513E+00  0.21136491057946825E-01  0.15783944140697195E+00  0.67996752390322412E+00 -0.59156092399008453E-02  0.67405191466332326E+00
  0.50000000000000033E+00  0.13099606682778356E+00  0.19939727865695134E-01  0.15093579469347870E+00  0.67753020264260411E+00 -0.53733527764502466E-02  0.67215684986615387E+00
  0.54999999999999483E+00  0.12967543832446701E+00  0.18893399473286904E-01  0.14856883779775393E+00  0.68304664346229904E+00 -0.48739902574634611E-02  0.67817265320483555E+00
  0.59999999999998932E+00  0.13208768869077642E+00  0.17829232228564248E-01  0.14991692091934067E+00  0.69706788937815412E+00 -0.43409951415384531E-02  0.69272689423661571E+00
  0.64999999999998381E+00  0.13499375337665129E+00  0.16757442138420533E-01  0.15175119551507182E+00  0.71306148731717456E+00 -0.37813036247324409E-02  0.70928018369244217E+00
  0.69999999999997831E+00  0.13678344804720399E+00  0.15743596056280881E-01  0.15252704410348489E+00  0.72481490319770958E+00 -0.32812548272905043E-02  0.72153364837041911E+00
  0.74999999999997280E+00  0.13869781973082998E+00  0.14824603796694083E-01  0.15352242352752407E+00  0.73418852137665358E+00 -0.28390342461476646E-02  0.73134948713050596E+00
