                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.49999999999999975E-02  0.34160258701563140E+01  0.17311928509296770E+01  0.51472187210859914E+01 -0.34552675053581856E+01  0.10304799602599224E+01 -0.24247875450982632E+01
  0.99999999999999672E-02  0.24063475331317274E+01  0.11840606977417893E+01  0.35904082308735168E+01 -0.24575025405703448E+01  0.68843987008631047E+00 -0.17690626704840344E+01
  0.14999999999999937E-01  0.19954190848662106E+01  0.99090294263767098E+00  0.29863220275038813E+01 -0.20481012776167828E+01  0.57224251514354274E+00 -0.14758587624732402E+01
  0.20000000000000059E-01  0.17539195068617661E+01  0.87492476794495844E+00  0.26288442748067244E+01 -0.18069938575908011E+01  0.50203524370415209E+00 -0.13049586138866491E+01
  0.25000000000000203E-01  0.15903066059117745E+01  0.79277786773360448E+00  0.23830844736453791E+01 -0.16433458213376415E+01  0.45159752095975114E+00 -0.11917483003778904E+01
  0.30000000000000346E-01  0.14711396061603181E+01  0.73041786828176669E+00  0.22015574744420849E+01 -0.15239023820066988E+01  0.41278283383048264E+00 -0.11111195481762162E+01
  0.35000000000000489E-01  0.13801928962413677E+01  0.68105460874296309E+00  0.20612475049843306E+01 -0.14325443358733230E+01  0.38169237533386252E+00 -0.10508519605394604E+01
  0.40000000000000632E-01  0.13083808661087140E+01  0.64076523027325294E+00  0.19491460963819669E+01 -0.13602508864877818E+01  0.35605884596914888E+00 -0.10041920405186329E+01
  0.45000000000000775E-01  0.12501730808270832E+01  0.60708348887034869E+00  0.18572565696974319E+01 -0.13015297560341823E+01  0.33444083067121433E+00 -0.96708892536296798E+00
  0.50000000000000919E-01  0.12020019044813695E+01  0.57837582358551110E+00  0.17803777280668807E+01 -0.12528353448675675E+01  0.31587289255949530E+00 -0.93696245230807218E+00
  0.55000000000001062E-01  0.11614601944107661E+01  0.55351651651550726E+00  0.17149767109262735E+01 -0.12117731320053062E+01  0.29968303392212114E+00 -0.91209009808318509E+00
  0.60000000000001205E-01  0.11268633554744030E+01  0.53170395130115500E+00  0.16585673067755580E+01 -0.11766656755458778E+01  0.28538850522316028E+00 -0.89127717032271747E+00
  0.65000000000001001E-01  0.10969958556569959E+01  0.51235109837455617E+00  0.16093469540315519E+01 -0.11463013890104683E+01  0.27263307406062304E+00 -0.87366831494984520E+00
  0.70000000000000451E-01  0.10709575085325531E+01  0.49501755519948787E+00  0.15659750637320409E+01 -0.11197821211025469E+01  0.26114771637537360E+00 -0.85863440472717334E+00
  0.74999999999999900E-01  0.10480665762652581E+01  0.47936590737600204E+00  0.15274324836412601E+01 -0.10964270149099888E+01  0.25072514046900990E+00 -0.84570187444097900E+00
  0.79999999999999349E-01  0.10277966360286248E+01  0.46513285363451562E+00  0.14929294896631404E+01 -0.10757098250880268E+01  0.24120278249452604E+00 -0.83450704259350084E+00
  0.84999999999998799E-01  0.10097342416867101E+01  0.45210958336380030E+00  0.14618438250505104E+01 -0.10572168548196565E+01  0.23245115791856635E+00 -0.82476569690109014E+00
  0.89999999999998248E-01  0.99354979846032154E+00  0.44012811993588702E+00  0.14336779183962085E+01 -0.10406180024724829E+01  0.22436569653438956E+00 -0.81625230593809339E+00
  0.94999999999997697E-01  0.97897706687221298E+00  0.42905161048195706E+00  0.14080286773541699E+01 -0.10256463750500802E+01  0.21686090104826977E+00 -0.80878547400181033E+00
  0.99999999999997147E-01  0.96579844363729828E+00  0.41876728761313192E+00  0.13845657312504303E+01 -0.10120836396941975E+01  0.20986609073507903E+00 -0.80221754895911845E+00
  0.10499999999999660E+00  0.95383419677169912E+00  0.40918127871222859E+00  0.13630154754839277E+01 -0.99974930451827881E+00  0.20332224834871548E+00 -0.79642705616956333E+00
  0.10999999999999605E+00  0.94293446293495031E+00  0.40021471746344289E+00  0.13431491803983933E+01 -0.98849274548838584E+00  0.19717964898353033E+00 -0.79131309650485548E+00
  0.11499999999999549E+00  0.93297320966460340E+00  0.39180078936353002E+00  0.13247739990281335E+01 -0.97818718731772170E+00  0.19139605236383181E+00 -0.78679113495388986E+00
  0.11999999999999494E+00  0.92384361871685328E+00  0.38388245778906349E+00  0.13077260765059169E+01 -0.96872509828714493E+00  0.18593530727143798E+00 -0.78278979101570689E+00
  0.12499999999999439E+00  0.91545451302191505E+00  0.37641069316881631E+00  0.12918652061907314E+01 -0.96001462370221602E+00  0.18076626165399196E+00 -0.77924836204822401E+00
  0.12999999999999384E+00  0.90772756022523038E+00  0.36934307901923102E+00  0.12770706392444615E+01 -0.95197679270466928E+00  0.17586190237722674E+00 -0.77611489032744252E+00
  0.13499999999999329E+00  0.90059506172430370E+00  0.36264270371446988E+00  0.12632377654387736E+01 -0.94454330832175271E+00  0.17119866955700752E+00 -0.77334463876474513E+00
  0.13999999999999274E+00  0.89399818793151997E+00  0.35627727132445008E+00  0.12502754592559699E+01 -0.93765478232489652E+00  0.16675590507935123E+00 -0.77089887724554529E+00
  0.14499999999999219E+00  0.88788555744118636E+00  0.35021838214583390E+00  0.12381039395870204E+01 -0.93125931306681597E+00  0.16251540532209210E+00 -0.76874390774472390E+00
  0.14999999999999164E+00  0.88221208363318027E+00  0.34444094594004931E+00  0.12266530295732296E+01 -0.92531133020419087E+00  0.15846105556593168E+00 -0.76685027463825917E+00
  0.15499999999999109E+00  0.87693803153762551E+00  0.33892269987976459E+00  0.12158607314173902E+01 -0.91977064939501263E+00  0.15457852901535701E+00 -0.76519212037965567E+00
