                        t                     Fp_x                  Fvisc_x                 Ftotal_x                     Fp_y                  Fvisc_y                 Ftotal_y
  0.50000000000000037E-01  0.90259989011690611E+00  0.48416843546193372E+00  0.13867683255788399E+01  0.12520068271769724E+01 -0.30087009090499489E+00  0.95113673627197759E+00
  0.10000000000000007E+00  0.75020239836600655E+00  0.31545808542728249E+00  0.10656604837932890E+01  0.10949512239396235E+01 -0.19292779544274480E+00  0.90202342849687867E+00
  0.15000000000000011E+00  0.70490155080974515E+00  0.24932356438441114E+00  0.95422511519415631E+00  0.10510414561575872E+01 -0.14696001407693060E+00  0.90408144208065655E+00
  0.20000000000000015E+00  0.68567397998651614E+00  0.21047887194005768E+00  0.89615285192657379E+00  0.10342245037254421E+01 -0.11853660592015597E+00  0.91568789780528603E+00
  0.25000000000000017E+00  0.67773717944034773E+00  0.18354992045146204E+00  0.86128709989180974E+00  0.10291611972739680E+01 -0.97859206814582600E-01  0.93130199045938544E+00
  0.30000000000000021E+00  0.67519269263032633E+00  0.16324764733275116E+00  0.83844033996307754E+00  0.10292543559949898E+01 -0.81546297934299808E-01  0.94770805806069003E+00
  0.35000000000000026E+00  0.67506048211245218E+00  0.14707564754889407E+00  0.82213612966134630E+00  0.10313893975866444E+01 -0.68115304310923414E-01  0.96327409327572100E+00
  0.40000000000000030E+00  0.67604564026363889E+00  0.13371022924046652E+00  0.80975586950410539E+00  0.10343056782613671E+01 -0.56767439505593459E-01  0.97753823875577361E+00
  0.45000000000000034E+00  0.67763614622273627E+00  0.12239196074541697E+00  0.80002810696815319E+00  0.10374746514814936E+01 -0.46998080749217352E-01  0.99047657073227624E+00
  0.50000000000000033E+00  0.67961277149130295E+00  0.11264147297125716E+00  0.79225424446256010E+00  0.10406419323307061E+01 -0.38459604145964478E-01  0.10021823281847417E+01
  0.54999999999999483E+00  0.68184952849375990E+00  0.10413008797041040E+00  0.78597961646417036E+00  0.10436644283356280E+01 -0.30906034839760666E-01  0.10127583934958673E+01
  0.59999999999998932E+00  0.68425145445049729E+00  0.96620348869117870E-01  0.78087180331961514E+00  0.10464500334598352E+01 -0.24162624009431477E-01  0.10222874094504038E+01
  0.64999999999998381E+00  0.68674363049792597E+00  0.89936131841547071E-01  0.77667976233947300E+00  0.10489380999516109E+01 -0.18103695965249009E-01  0.10308344039863619E+01
  0.69999999999997831E+00  0.68926687906212591E+00  0.83945268088101502E-01  0.77321214715022746E+00  0.10510860769882597E+01 -0.12636705645344514E-01  0.10384493713429153E+01
  0.74999999999997280E+00  0.69177189085791901E+00  0.78548144651898563E-01  0.77032003550981754E+00  0.10528565618186507E+01 -0.76918338542368726E-02  0.10451647279644138E+01
  0.79999999999996729E+00  0.69421949035064612E+00  0.73670073663029648E-01  0.76788956401367581E+00  0.10542144924565851E+01 -0.32149624713782316E-02  0.10509995299852068E+01
  0.84999999999996179E+00  0.69658682301717523E+00  0.69256056740304578E-01  0.76584287975747978E+00  0.10551346026206028E+01  0.83754847731786711E-03  0.10559721510979205E+01
  0.89999999999995628E+00  0.69886869353427028E+00  0.65266328844000271E-01  0.76413502237827058E+00  0.10556069610604180E+01  0.45023165633146321E-02  0.10601092776237326E+01
  0.94999999999995077E+00  0.70106600602803104E+00  0.61671573959799476E-01  0.76273757998783054E+00  0.10556305220303284E+01  0.78102244800853319E-02  0.10634407465104136E+01
  0.99999999999994527E+00  0.70316586133359216E+00  0.58448142734795906E-01  0.76161400406838808E+00  0.10551970694885093E+01  0.10785995456798432E-01  0.10659830649453077E+01
  0.10499999999999399E+01  0.70512653503549860E+00  0.55574620515658674E-01  0.76070115555115725E+00  0.10542771143854477E+01  0.13447456820455672E-01  0.10677245712059034E+01
  0.10999999999999344E+01  0.70687713077506131E+00  0.53030622096820426E-01  0.75990775287188173E+00  0.10528174179229191E+01  0.15805838939476877E-01  0.10686232568623959E+01
  0.11499999999999289E+01  0.70833081709320067E+00  0.50797354581728869E-01  0.75912817167492952E+00  0.10507505510991402E+01  0.17867443648251522E-01  0.10686179947473917E+01
  0.11999999999999234E+01  0.70940261696371443E+00  0.48858689578480045E-01  0.75826130654219448E+00  0.10480094457119871E+01  0.19635989586343806E-01  0.10676454352983309E+01
  0.12499999999999178E+01  0.71002290580581506E+00  0.47201728380180427E-01  0.75722463418599550E+00  0.10445393389577442E+01  0.21114676455048435E-01  0.10656540154127927E+01
  0.12999999999999123E+01  0.71014311637357197E+00  0.45816578542368716E-01  0.75595969491594073E+00  0.10403036923175020E+01  0.22307434309734198E-01  0.10626111266272362E+01
  0.13499999999999068E+01  0.70973498132288215E+00  0.44695597018248732E-01  0.75443057834113092E+00  0.10352847027327359E+01  0.23219366500360578E-01  0.10585040692330965E+01
  0.13999999999999013E+01  0.70878628803407351E+00  0.43832471778189733E-01  0.75261875981226323E+00  0.10294805312194653E+01  0.23856662916317217E-01  0.10533371941357825E+01
  0.14499999999998958E+01  0.70729551455250705E+00  0.43221384038821566E-01  0.75051689859132864E+00  0.10229010768907103E+01  0.24226259845927883E-01  0.10471273367366383E+01
  0.14999999999998903E+01  0.70526674830378211E+00  0.42856350530786846E-01  0.74812309883456896E+00  0.10155635292831162E+01  0.24335435693998445E-01  0.10398989649771146E+01
  0.15499999999998848E+01  0.70270578462686473E+00  0.42730780987174019E-01  0.74543656561403870E+00  0.10074886443071784E+01  0.24191471989463996E-01  0.10316801162966425E+01
  0.15999999999998793E+01  0.69961802343185087E+00  0.42837264331212564E-01  0.74245528776306347E+00  0.99869847884635121E+00  0.23801474549228478E-01  0.10224999533955796E+01
  0.16499999999998738E+01  0.69600834391670974E+00  0.43167565007326811E-01  0.73917590892403651E+00  0.98921589103722751E+00  0.23172400563332994E-01  0.10123882916005604E+01
  0.16999999999998683E+01  0.69188255631115225E+00  0.43712765486432839E-01  0.73559532179758513E+00  0.97906553413271413E+00  0.22311267719250457E-01  0.10013768018519646E+01
  0.17499999999998628E+01  0.68724961284366681E+00  0.44463463412035872E-01  0.73171307625570270E+00  0.96827564326818716E+00  0.21225463433863646E-01  0.98950110670205083E+00
  0.17999999999998573E+01  0.68212372132850629E+00  0.45409941415706166E-01  0.72753366274421249E+00  0.95687983738656435E+00  0.19923055987980814E-01  0.97680289337454518E+00
  0.18499999999998518E+01  0.67652577614068077E+00  0.46542263138265233E-01  0.72306803927894603E+00  0.94491837584909066E+00  0.18413033597866807E-01  0.96333140944695750E+00
  0.18999999999998463E+01  0.67048387346820115E+00  0.47850285710451773E-01  0.71833415917865295E+00  0.93243861697898822E+00  0.16705437321453097E-01  0.94914405430044135E+00
  0.19499999999998407E+01  0.66403294136317514E+00  0.49323601849463689E-01  0.71335654321263886E+00  0.91949467017476594E+00  0.14811386596360237E-01  0.93430605677112621E+00
  0.19999999999998352E+01  0.65721366521821811E+00  0.50951434797060324E-01  0.70816510001527844E+00  0.90614638417571747E+00  0.12743015675959778E-01  0.91888939985167728E+00
  0.20499999999998519E+01  0.65007097324473673E+00  0.52722514021320922E-01  0.70279348726605761E+00  0.89245790458844954E+00  0.10513349526228691E-01  0.90297125411467827E+00
  0.20999999999998686E+01  0.64265238903150113E+00  0.54624962284034954E-01  0.69727735131553603E+00  0.87849608068168927E+00  0.81361527885739100E-02  0.88663223347026321E+00
  0.21499999999998853E+01  0.63500654466663586E+00  0.56646222993832401E-01  0.69165276766046824E+00  0.86432899220255199E+00  0.56257846194688581E-02  0.86995477682202083E+00
  0.21999999999999020E+01  0.62718206492026807E+00  0.58773048065441806E-01  0.68595511298570988E+00  0.85002479271200038E+00  0.29970837922680032E-02  0.85302187650426842E+00
  0.22499999999999187E+01  0.61922690014109283E+00  0.60991552373560569E-01  0.68021845251465340E+00  0.83565094579279531E+00  0.26529366337983001E-03  0.83591623945617510E+00
  0.22999999999999354E+01  0.61118804923094927E+00  0.63287326574309147E-01  0.67447537580525840E+00  0.82127380609313028E+00 -0.25539795642241020E-02  0.81871982652890618E+00
  0.23499999999999521E+01  0.60311152003309276E+00  0.65645590645502419E-01  0.66875711067859522E+00  0.80695840994145607E+00 -0.54447935279318353E-02  0.80151361641352425E+00
  0.23999999999999688E+01  0.59504234550810509E+00  0.68051367856422573E-01  0.66309371336452760E+00  0.79276831224989519E+00 -0.83909033643542290E-02  0.78437740888554097E+00
  0.24499999999999855E+01  0.58702450356041302E+00  0.70489661545958482E-01  0.65751416510637151E+00  0.77876533309533402E+00 -0.11375820688590728E-01  0.76738951240674325E+00
  0.25000000000000022E+01  0.57910065033280744E+00  0.72945622138664221E-01  0.65204627247147162E+00  0.76500913533992754E+00 -0.14382908329509106E-01  0.75062622701041848E+00
  0.25500000000000189E+01  0.57131164381991173E+00  0.75404696941213503E-01  0.64671634076112527E+00  0.75155661782078764E+00 -0.17395512639717833E-01  0.73416110518106981E+00
